,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
34479,Marmota marmota,species,Alpine Marmot,1,1.72098409384,42.5433740242,Europe,Andorra,Andorra - Pas de la Casa,2013-07-02,
59327,Marmota marmota,species,Alpine Marmot,4,1.48601621389,42.6360414953,Europe,Andorra,Andorra,2014-08-30,
59330,Gyps fulvus,species,Griffon Vulture,20,1.48601621389,42.6360414953,Europe,Andorra,Andorra,2014-08-30,
59332,Anthus spinoletta,species,Water Pipit,50,1.48601621389,42.6360414953,Europe,Andorra,Andorra,2014-08-30,
78908,Arctostaphylos uva-ursi,species,Bearberry,1,1.49960249657,42.4408132688,Europe,Andorra,Andorra,2014-08-09,17:05
87819,Vaccinium myrtillus,species,Bilberry,1,1.50034897421,42.4407152025,Europe,Andorra,Andorra,2014-08-09,16:51
117846,Pyrgus andromedae,species,Alpine Grizzled Skipper,6,1.63722038269,42.6122961245,Europe,Andorra,Andorra,2014-05-20,
46934,Gyps fulvus,species,Griffon Vulture,1,1.52787208557,42.5027943651,Europe,Andorra,Andorra,2014-07-10,
46478,Rana temporaria,species,Common Frog,1,1.47773,42.637637,Europe,Andorra,Andorra,2007-08-15,
21874,Lycaena virgaureae,species,Scarce Copper,1,1.5,42.45,Europe,Andorra,Andorra,2013-07-26,
21899,Plebejus argus,species,Silver-studded Blue,10,1.5655517578125,42.552827379347,Europe,Andorra,Andorra - Canillo,2013-07-26,
22031,Pyrrhocorax pyrrhocorax,species,Red-billed Chough,6,1.4989471435547,42.626633439691,Europe,Andorra,Andorra,2013-07-26,
22056,Prunella modularis,species,Dunnock,6,1.5023803710938,42.628654293518,Europe,Andorra,Andorra,2013-07-26,
22062,Anthus spinoletta,species,Water Pipit,8,1.5023803710938,42.628654293518,Europe,Andorra,Andorra,2013-07-25,
22078,Vipera aspis,species,Asp Viper,1,1.527099609375,42.59353262565,Europe,Andorra,Andorra,2013-07-25,
22088,Aporia crataegi,species,Black-veined White,100,1.527099609375,42.59353262565,Europe,Andorra,Andorra,2013-07-25,
22100,Erebia oeme,species,Bright-eyed Ringlet,1,1.527099609375,42.59353262565,Europe,Andorra,Andorra,2013-07-25,
22108,Coenonympha arcania,species,Pearly Heath,15,1.5,42.55,Europe,Andorra,Andorra,2013-07-25,
22609,Pararge aegeria,species,Speckled Wood,20,1.5429782867432,42.620191530278,Europe,Andorra,Andorra,2013-07-25,
65586,Oenanthe oenanthe,species,Northern Wheatear,1,1.4828380476697187,42.6317231823156,Europe,Andorra,Andorra,2013-07-21,09:16
65587,Anthus spinoletta,species,Water Pipit,4,1.4824739377959468,42.6317419577787,Europe,Andorra,Andorra,2013-07-20,22:14
65588,Gypaetus barbatus,species,Bearded Vulture,2,1.4780227281166969,42.63138145212329,Europe,Andorra,Andorra,2013-07-20,17:36
65589,Corvus corax,species,Northern Raven,3,1.4780227281166969,42.63138145212329,Europe,Andorra,Andorra,2013-07-20,17:36
9271,Gyps fulvus,species,Griffon Vulture,1,1.7411077022552,42.569517215185,Europe,Andorra,Andorra,2013-07-05,
35933,Luzula campestris,species,Field Wood-rush,1,1.7354249952041,42.544147743328,Europe,Andorra,Andorra - Pas de la Casa,2013-07-02,
35942,Reseda phyteuma,species,Corn Mignonette,1,1.7354249952041,42.544147743328,Europe,Andorra,Andorra - Pas de la Casa,2013-07-02,
35954,Veronica beccabunga,species,Brooklime Speedwell,1,1.7354249952041,42.544147743328,Europe,Andorra,Andorra - Pas de la Casa,2013-07-02,
35956,Taraxacum officinale s.l. (incl. all sec.),species,Common Dandelion,1,1.7354249952041,42.544147743328,Europe,Andorra,Andorra - Pas de la Casa,2013-07-02,
36097,Botrychium lunaria,species,Moonwort,1,1.7,42.5,Europe,Andorra,Andorra - Pas de la Casa,2013-07-02,
36100,Oxytropis halleri,species,Purple Oxytropis,1,1.7204046240658,42.543083256475,Europe,Andorra,Andorra - Pas de la Casa,2013-07-02,
36119,Anthyllis vulneraria,species,Kidney Vetch,1,1.7204046240658,42.543083256475,Europe,Andorra,Andorra - Pas de la Casa,2013-07-02,
36128,Soldanella alpina,species,Alpine snowbell,1,1.7204046240658,42.543083256475,Europe,Andorra,Andorra - Pas de la Casa,2013-07-02,
36131,Ajuga reptans,species,Bugle,1,1.7204046240658,42.543083256475,Europe,Andorra,Andorra - Pas de la Casa,2013-07-02,
36159,Myosotis alpestris,species,Alpine Forget-me-not,1,1.7204046240658,42.543083256475,Europe,Andorra,Andorra - Pas de la Casa,2013-07-02,
36163,Salix herbacea,species,Dwarf Willow,1,1.7204046240658,42.543083256475,Europe,Andorra,Andorra - Pas de la Casa,2013-07-02,
36169,Anemone narcissiflora,species,Narcissus anemone,1,1.7204046240658,42.543083256475,Europe,Andorra,Andorra - Pas de la Casa,2013-07-02,
36172,Antennaria carpatica,species,,1,1.7204046240658,42.543083256475,Europe,Andorra,Andorra - Pas de la Casa,2013-07-02,
36183,Primula elatior,species,Oxlip,1,1.72,42.54,Europe,Andorra,Andorra - Pas de la Casa,2013-07-02,
36188,Luzula lutea,species,,1,1.7204046240658,42.543083256475,Europe,Andorra,Andorra - Pas de la Casa,2013-07-02,
36191,Vaccinium uliginosum,species,Bog Bilberry,1,1.7204046240658,42.543083256475,Europe,Andorra,Andorra - Pas de la Casa,2013-07-02,
36197,Calluna vulgaris,species,Heather,1,1.7204046240658,42.543083256475,Europe,Andorra,Andorra - Pas de la Casa,2013-07-02,
36209,Juniperus communis,species,Juniper,1,1.7204046240658,42.543083256475,Europe,Andorra,Andorra - Pas de la Casa,2013-07-02,
36217,Pulsatilla alpina,species,,1,1.7204046240658,42.543083256475,Europe,Andorra,Andorra - Pas de la Casa,2013-07-02,
36234,Pulsatilla vernalis,species,,1,1.7204046240658,42.543083256475,Europe,Andorra,Andorra - Pas de la Casa,2013-07-02,
36243,Daphne cneorum,species,Rose daphne,1,1.7204046240658,42.543083256475,Europe,Andorra,Andorra - Pas de la Casa,2013-07-02,
36382,Gentiana pyrenaica,species,,1,1.7204046240658,42.543083256475,Europe,Andorra,Andorra - Pas de la Casa,2013-07-02,
94785,Carlina acaulis,species,Stemless Carline Thistle,1,1.560058,42.640196,Europe,Andorra,Andorra,2007-08-16,
98277,Astrantia major,species,Great Masterwort,1,1.551786,42.626588,Europe,Andorra,Andorra,2007-08-16,
103161,Aconitum napellus,species,Monk's-hood,1,1.551818,42.62644,Europe,Andorra,Andorra,2007-08-16,
108034,Sparganium angustifolium,species,Floating Bur-reed,40,1.4776850000001,42.634772,Europe,Andorra,Andorra,2007-08-15,
108626,Eryngium bourgatii,species,,1,1.5600580466271,42.640054107614,Europe,Andorra,Andorra,2007-08-16,
19970,Decticus verrucivorus,species,Wart-Biter,1,1.5573010000001,42.629256,Europe,Andorra,Andorra,2007-08-21,
60267,Parnassia palustris,species,Grass-of-Parnassus,20,1.55799865723,42.553238357,Europe,Andorra,Andorra,2012-08-10,
