,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
52626,Anastomus lamelligerus,species,African Openbill,39,19.8324,-17.8735,Africa,Angola,Angola - Cuando Cubango,2015-02-26,18:39
52629,Cinnyricinclus leucogaster,species,Violet-backed Starling,1,19.8319,-17.8742,Africa,Angola,Angola - Cuando Cubango,2015-02-26,16:05
56745,Laniarius bicolor,species,Swamp Boubou,1,19.8325,-17.8736,Africa,Angola,Angola - Cuando Cubango,2015-02-26,07:09
56770,Turdoides hartlaubii,species,Hartlaub's Babbler,4,19.833,-17.8738,Africa,Angola,Angola - Cuando Cubango,2015-02-26,06:48
56772,Bubulcus ibis,species,Western Cattle Egret,30,19.8325,-17.8735,Africa,Angola,Angola - Cuando Cubango,2015-02-26,06:35
56773,Anastomus lamelligerus,species,African Openbill,1,19.8325,-17.8735,Africa,Angola,Angola - Cuando Cubango,2015-02-26,06:35
59663,Tyto alba,species,Western Barn Owl,1,19.8323,-17.8736,Africa,Angola,Angola - Cuando Cubango,2015-02-25,20:01
61480,Bubulcus ibis,species,Western Cattle Egret,5,19.8311,-17.8736,Africa,Angola,Angola - Cuando Cubango,2015-02-25,16:49
61481,Anastomus lamelligerus,species,African Openbill,3,19.832,-17.8737,Africa,Angola,Angola - Cuando Cubango,2015-02-25,16:37
61482,Anastomus lamelligerus,species,African Openbill,2,19.832,-17.8744,Africa,Angola,Angola - Cuando Cubango,2015-02-25,16:10
29324,Megaptera novaeangliae,species,Humpback Whale,2,11.7297935486,-5.11291526767,Africa,Angola,Angola,2014-09-27,
106168,Ceryle rudis,species,Pied Kingfisher,1,12.6013183594,-6.03062786203,Africa,Angola,Angola - Zaire,2013-01-27,
70708,Corvus albus,species,Pied Crow,30,13.056049346924,-5.864500481913,Africa,Angola,Angola - Zaire,2013-01-27,
70715,Emberiza tahapisi,species,Cinnamon-breasted Bunting,2,13.056049346924,-5.864500481913,Africa,Angola,Angola - Zaire,2013-01-15,
70716,Gypohierax angolensis,species,Palm-nut Vulture,8,13.056049346924,-5.864500481913,Africa,Angola,Angola - Zaire,2013-01-27,
70727,Hirundo smithii,species,Wire-tailed Swallow,4,13.056049346924,-5.864500481913,Africa,Angola,Angola - Zaire,2013-01-27,
70729,Cypsiurus parvus,species,African Palm Swift,5,13.056049346924,-5.864500481913,Africa,Angola,Angola - Zaire,2013-01-27,
11818,Gypohierax angolensis,species,Palm-nut Vulture,4,12.8526306152,-5.91931268901,Africa,Angola,Angola - Zaire,2012-06-24,14:00
13916,Phoenicopterus roseus,species,Greater Flamingo,450,11.8453571945429,-15.7846466681836,Africa,Angola,Angola - Namibe,2020-01-31,07:57
13918,Phalacrocorax capensis,species,Cape Cormorant,4,11.8234996795654,-16.4346218109131,Africa,Angola,Angola - Namibe,2020-01-31,13:38
13919,Phalacrocorax capensis,species,Cape Cormorant,90000,11.82373047,-16.50623322,Africa,Angola,Angola - Namibe,2020-01-31,13:50
13921,Phalacrocorax capensis,species,Cape Cormorant,9600,11.8162629380822,-16.5874728634578,Africa,Angola,Angola - Namibe,2020-01-31,14:08
13922,Phoenicopterus roseus,species,Greater Flamingo,40,11.8216104507446,-16.586742401123,Africa,Angola,Angola - Namibe,2020-01-31,14:09
13923,Phoenicopterus roseus,species,Greater Flamingo,30,11.8213005065918,-16.6199779510498,Africa,Angola,Angola - Namibe,2020-01-31,14:41
13924,Phoenicopterus roseus,species,Greater Flamingo,3,11.8218717575073,-16.6321868896484,Africa,Angola,Angola - Namibe,2020-01-31,14:43
13925,Phoenicopterus roseus,species,Greater Flamingo,1,11.8229131698608,-16.638635635376,Africa,Angola,Angola - Namibe,2020-01-31,14:43
13926,Phoenicopterus roseus,species,Greater Flamingo,10,11.8231554031372,-16.6427001953125,Africa,Angola,Angola - Namibe,2020-01-31,14:44
13927,Phoenicopterus roseus,species,Greater Flamingo,60,11.8235416412354,-16.6483135223389,Africa,Angola,Angola - Namibe,2020-01-31,14:45
13928,Phoenicopterus roseus,species,Greater Flamingo,15,11.8250865936279,-16.6718063354492,Africa,Angola,Angola - Namibe,2020-01-31,14:52
13929,Phalacrocorax capensis,species,Cape Cormorant,6,11.8189115524292,-16.7495250701904,Africa,Angola,Angola - Namibe,2020-01-31,15:22
13930,Phalacrocorax capensis,species,Cape Cormorant,20,11.8177928924561,-16.7525024414063,Africa,Angola,Angola - Namibe,2020-01-31,15:23
13931,Phalacrocorax lucidus,species,White-breasted Cormorant,1,11.8144941329956,-16.7597370147705,Africa,Angola,Angola - Namibe,2020-01-31,15:25
13932,Phalacrocorax capensis,species,Cape Cormorant,25,11.8143014907837,-16.7602272033691,Africa,Angola,Angola - Namibe,2020-01-31,15:25
13933,Phalacrocorax capensis,species,Cape Cormorant,9,11.8119802474976,-16.7672138214111,Africa,Angola,Angola - Namibe,2020-01-31,15:27
13934,Phalacrocorax capensis,species,Cape Cormorant,8,11.8112268447876,-16.7698822021484,Africa,Angola,Angola - Namibe,2020-01-31,15:28
98017,Merops pusillus,species,Little Bee-eater,1,13.392106,-16.99178673,Africa,Angola,Angola - Cunene,2019-11-15,
75581,Ardea cinerea,species,Grey Heron,15,13.2466846704483,-8.77556934841611,Africa,Angola,Angola - Luanda,2020-01-29,07:39
75582,Microcarbo africanus,species,Reed Cormorant,8,13.2466846704483,-8.77556934841611,Africa,Angola,Angola - Luanda,2020-01-29,07:39
75583,Gypohierax angolensis,species,Palm-nut Vulture,1,13.2451742514968,-8.77746632933081,Africa,Angola,Angola - Luanda,2020-01-29,07:39
75584,Thalasseus albididorsalis,species,West African Crested Tern,60,13.1685173884034,-8.88572124975351,Africa,Angola,Angola - Luanda,2020-01-29,17:29
75585,Sterna hirundo,species,Common Tern,50,13.1685173884034,-8.88572124975351,Africa,Angola,Angola - Luanda,2020-01-29,17:29
75586,Thalasseus sandvicensis,species,Sandwich Tern,190,13.16851739,-8.88572125,Africa,Angola,Angola - Luanda,2020-01-29,17:29
75587,Hydroprogne caspia,species,Caspian Tern,2,13.15930434,-8.86596119,Africa,Angola,Angola - Luanda,2020-01-29,18:02
75588,Sterna hirundo,species,Common Tern,4,13.1593043357134,-8.86596118806642,Africa,Angola,Angola - Luanda,2020-01-29,18:02
75589,Thalasseus albididorsalis,species,West African Crested Tern,34,13.1593043357134,-8.86596118806642,Africa,Angola,Angola - Luanda,2020-01-29,18:02
75590,Thalasseus sandvicensis,species,Sandwich Tern,16,13.1593043357134,-8.86596118806642,Africa,Angola,Angola - Luanda,2020-01-29,18:02
75591,Larus fuscus,species,Lesser Black-backed Gull,36,13.15930434,-8.86596119,Africa,Angola,Angola - Luanda,2020-01-29,18:02
75592,Larus dominicanus,species,Kelp Gull,10,13.1593043357134,-8.86596118806642,Africa,Angola,Angola - Luanda,2020-01-29,18:02
75593,Colius castanotus,species,Red-backed Mousebird,1,13.235912322998,-8.78318881988525,Africa,Angola,Angola - Luanda,2020-01-30,08:26
86575,Urocolius indicus,species,Red-faced Mousebird,5,13.02083027,-9.09071921,Africa,Angola,Angola - Luanda,2020-01-28,10:01
89681,Amadina erythrocephala,species,Red-headed Finch,15,13.0209655761719,-9.09060287475586,Africa,Angola,Angola - Luanda,2020-01-28,09:15
89682,Cichladusa ruficauda,species,Rufous-tailed Palm Thrush,1,13.0204131826758,-9.09094566175066,Africa,Angola,Angola - Luanda,2020-01-28,09:15
89683,Tringa nebularia,species,Common Greenshank,25,13.0172005668283,-9.09412022662741,Africa,Angola,Angola - Luanda,2020-01-28,10:01
89684,Egretta garzetta,species,Little Egret,30,13.009464405477,-9.09929038011028,Africa,Angola,Angola - Luanda,2020-01-28,10:19
89685,Egretta garzetta,species,Little Egret,25,13.01846858114,-9.09368653551586,Africa,Angola,Angola - Luanda,2020-01-28,10:19
89686,Charadrius pecuarius,species,Kittlitz's Plover,12,13.017416,-9.09234238,Africa,Angola,Angola - Luanda,2020-01-28,10:38
89687,Tringa nebularia,species,Common Greenshank,1,13.0170392990112,-9.08977699279785,Africa,Angola,Angola - Luanda,2020-01-28,10:58
89688,Egretta garzetta,species,Little Egret,1,13.0170392990112,-9.08977699279785,Africa,Angola,Angola - Luanda,2020-01-28,10:58
89689,Egretta garzetta,species,Little Egret,40,13.0130625888705,-9.08993657526866,Africa,Angola,Angola - Luanda,2020-01-28,11:04
100237,Microcarbo africanus,species,Reed Cormorant,3,13.2462913915515,-8.77609950999737,Africa,Angola,Angola - Luanda,2020-01-26,10:15
100238,Ardea cinerea,species,Grey Heron,15,13.2462913915515,-8.77609950999737,Africa,Angola,Angola - Luanda,2020-01-26,10:15
100239,Bubulcus ibis,species,Western Cattle Egret,260,13.2340756058693,-8.78429272956566,Africa,Angola,Angola - Luanda,2020-01-26,13:39
100240,Chrysococcyx klaas,species,Klaas's Cuckoo,1,13.1057615280151,-8.95946407318115,Africa,Angola,Angola - Luanda,2020-01-27,09:35
100241,Hydroprogne caspia,species,Caspian Tern,1,13.137505531311,-8.9333667755127,Africa,Angola,Angola - Luanda,2020-01-27,12:13
100242,Pelecanus rufescens,species,Pink-backed Pelican,1,13.137505531311,-8.9333667755127,Africa,Angola,Angola - Luanda,2020-01-27,12:13
100243,Chroicocephalus cirrocephalus,species,Grey-headed Gull,1,13.1374883651733,-8.93336296081543,Africa,Angola,Angola - Luanda,2020-01-27,12:16
100244,Thalasseus sandvicensis,species,Sandwich Tern,25,13.1374883651733,-8.93336296081543,Africa,Angola,Angola - Luanda,2020-01-27,12:16
100245,Thalasseus albididorsalis,species,West African Crested Tern,30,13.1374883651733,-8.93336296081543,Africa,Angola,Angola - Luanda,2020-01-27,12:16
100246,Tringa totanus,species,Common Redshank,3,13.1374769210815,-8.93337440490723,Africa,Angola,Angola - Luanda,2020-01-27,12:26
100247,Platalea alba,species,African Spoonbill,10,13.1361951828003,-8.93194007873535,Africa,Angola,Angola - Luanda,2020-01-27,12:48
100248,Hydroprogne caspia,species,Caspian Tern,3,13.1361694335938,-8.93196105957031,Africa,Angola,Angola - Luanda,2020-01-27,12:51
100249,Charadrius marginatus marginatus,subspecies,White-fronted Plover ssp marginatus,2,13.136191368103,-8.93195343017578,Africa,Angola,Angola - Luanda,2020-01-27,12:55
100250,Gypohierax angolensis,species,Palm-nut Vulture,1,13.1332962960005,-8.93570479639385,Africa,Angola,Angola - Luanda,2020-01-27,12:57
100251,Glareola nordmanni,species,Black-winged Pratincole,1,13.1332962960005,-8.93570479639385,Africa,Angola,Angola - Luanda,2020-01-27,12:57
100252,Pelecanus rufescens,species,Pink-backed Pelican,3,13.1220353767276,-8.94424917357032,Africa,Angola,Angola - Luanda,2020-01-27,14:44
