,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
65197,Parus cinereus,species,Cinereous Tit,1,91.77833086,24.30317022,Asia,Bangladesh,Bangladesh - Sylhet,2015-02-23,13:47
65198,Tyto javanica stertens,subspecies,Eastern Barn Owl ssp stertens,16,90.40147509,23.89033054,Asia,Bangladesh,Bangladesh - Dhaka,2015-02-24,18:29
78532,Surniculus lugubris,species,Square-tailed Drongo-Cuckoo,1,91.78509415,24.32688488,Asia,Bangladesh,Bangladesh - Sylhet,2015-02-23,11:39
84295,Megalurus palustris,species,Striated Grassbird,5,91.70608305,24.37055243,Asia,Bangladesh,Bangladesh - Sylhet,2015-02-22,15:52
20667,Tringa guttifer,species,Nordmann's Greenshank,3,91.86410643,21.55626046,Asia,Bangladesh,Bangladesh,2015-02-15,10:09
20668,Calidris pygmaea,species,Spoon-billed Sandpiper,3,91.86397824,21.55645338,Asia,Bangladesh,Bangladesh,2015-02-15,10:20
20669,Charadrius leschenaultii,species,Greater Sand Plover,30,91.8639753,21.5564063,Asia,Bangladesh,Bangladesh,2015-02-15,10:30
28835,Parus cinereus planorum,subspecies,Cinereous Tit ssp planorum,2,91.97573688,21.43484254,Asia,Bangladesh,Bangladesh - Chittagong,2015-02-14,10:02
28837,Charadrius leschenaultii,species,Greater Sand Plover,55,91.8449717,21.54398297,Asia,Bangladesh,Bangladesh - Chittagong,2015-02-14,13:23
28838,Calidris pygmaea,species,Spoon-billed Sandpiper,8,91.85969294,21.55643772,Asia,Bangladesh,Bangladesh,2015-02-14,15:17
102340,Dicrurus hottentottus,species,Hair-crested Drongo,1,89.5092771202,22.5815537738,Asia,Bangladesh,Bangladesh - Khulna,2014-12-04,
14911,Argya striata,species,Jungle Babbler,1,89.82813835,24.38524335,Asia,Bangladesh,Bangladesh - Dhaka,2012-09-04,
23489,Riparia chinensis chinensis,subspecies,Grey-throated Martin ssp chinensis,1,89.83411789,24.39216675,Asia,Bangladesh,Bangladesh - Dhaka,2012-09-11,
23507,Lanius cristatus,species,Brown Shrike,1,89.83411789,24.39216675,Asia,Bangladesh,Bangladesh - Dhaka,2012-09-06,
23566,Acridotheres ginginianus,species,Bank Myna,1,89.83411789,24.39216675,Asia,Bangladesh,Bangladesh - Dhaka,2012-09-05,
23649,Dendrocopos macei,species,Fulvous-breasted Woodpecker,1,89.83411789,24.39216675,Asia,Bangladesh,Bangladesh - Dhaka,2012-09-05,
23659,Psilopogon lineatus,species,Lineated Barbet,1,89.83411789,24.39216675,Asia,Bangladesh,Bangladesh - Dhaka,2012-09-05,
23662,Upupa epops,species,Eurasian Hoopoe,1,89.83411789,24.39216675,Asia,Bangladesh,Bangladesh - Dhaka,2012-09-05,
23694,Dicrurus macrocercus,species,Black Drongo,1,90.08560178,23.97094438,Asia,Bangladesh,Bangladesh - Dhaka,2012-09-03,
23697,Columba livia,species,Rock Dove,1,90.08560178,23.97094438,Asia,Bangladesh,Bangladesh - Dhaka,2012-09-03,
23698,Lanius schach,species,Long-tailed Shrike,1,90.08560178,23.97094438,Asia,Bangladesh,Bangladesh - Dhaka,2012-09-03,
23704,Coracias benghalensis,species,Indian Roller,1,90.08560178,23.97094438,Asia,Bangladesh,Bangladesh - Dhaka,2012-09-03,
23709,Elanus caeruleus,species,Black-winged Kite,1,90.08560178,23.97094438,Asia,Bangladesh,Bangladesh - Dhaka,2012-09-03,
23827,Corvus culminatus,species,Indian Jungle Crow,1,90.43487549,23.73557204,Asia,Bangladesh,Bangladesh - Dhaka,2012-09-01,
23829,Acridotheres tristis,species,Common Myna,1,90.43487549,23.73557204,Asia,Bangladesh,Bangladesh - Dhaka,2012-09-01,
23831,Gracupica contra,species,Pied Myna,1,90.43487549,23.73557204,Asia,Bangladesh,Bangladesh - Dhaka,2012-09-01,
23841,Eudynamys scolopaceus,species,Asian Koel,1,90.43487549,23.73557204,Asia,Bangladesh,Bangladesh - Dhaka,2012-09-01,
23843,Corvus splendens,species,House Crow,1,90.43,23.73,Asia,Bangladesh,Bangladesh - Dhaka,2012-09-01,
59214,Chroicocephalus brunnicephalus,species,Brown-headed Gull,5,91.250443897,22.208319223,Asia,Bangladesh,Bangladesh - Chittagong,2017-01-20,15:35
59267,Clanga hastata,species,Indian Spotted Eagle,3,90.5183580248531,22.7469568345857,Asia,Bangladesh,Bangladesh - Barisal,2017-01-16,12:12
59268,Falco jugger,species,Laggar Falcon,1,90.59962925,22.81213758,Asia,Bangladesh,Bangladesh - Barisal,2017-01-16,16:04
59272,Pluvialis fulva,species,Pacific Golden Plover,70,90.7605447310335,22.6447746154871,Asia,Bangladesh,Bangladesh - Barisal,2017-01-17,11:19
59284,Orcaella brevirostris,species,Irrawaddy Dolphin,1,90.5678952412605,21.9925888222565,Asia,Bangladesh,Bangladesh - Barisal,2017-01-23,08:57
59285,Spilornis cheela,species,Crested Serpent Eagle,1,90.6480803923478,21.964929328725,Asia,Bangladesh,Bangladesh - Barisal,2017-01-22,08:02
59286,Hierococcyx varius,species,Common Hawk-Cuckoo,1,90.6530866723671,21.9732384184529,Asia,Bangladesh,Bangladesh - Barisal,2017-01-22,08:53
59289,Heliopais personatus,species,Masked Finfoot,1,89.6956584920642,22.18183014975,Asia,Bangladesh,Bangladesh - Khulna,2017-01-26,16:46
59290,Halcyon pileata,species,Black-capped Kingfisher,1,89.7316503932799,21.9206362546379,Asia,Bangladesh,Bangladesh,2017-01-27,07:17
59291,Pelargopsis amauroptera,species,Brown-winged Kingfisher,1,89.7323366920717,21.9193554638892,Asia,Bangladesh,Bangladesh - Khulna,2017-01-27,07:21
59292,Centropus sinensis,species,Greater Coucal,3,89.7528489719866,21.9152456181274,Asia,Bangladesh,Bangladesh - Khulna,2017-01-27,08:16
59293,Pelargopsis amauroptera,species,Brown-winged Kingfisher,1,89.7534556834693,21.916152793258,Asia,Bangladesh,Bangladesh - Khulna,2017-01-27,08:24
59294,Macaca mulatta,species,Rhesus Macaque,3,89.7536026402292,21.9173073373335,Asia,Bangladesh,Bangladesh - Khulna,2017-01-27,08:27
59295,Axis axis,species,Chital,20,89.7785908857706,21.8559995435125,Asia,Bangladesh,Bangladesh - Khulna,2017-01-27,12:53
59296,Macaca mulatta,species,Rhesus Macaque,5,89.7824462756778,21.8567527580663,Asia,Bangladesh,Bangladesh - Khulna,2017-01-27,13:07
59334,Dicrurus hottentottus,species,Hair-crested Drongo,2,89.7818298620612,21.8551860253031,Asia,Bangladesh,Bangladesh - Khulna,2017-01-27,14:27
59340,Caprimulgus asiaticus,species,Indian Nightjar,2,89.5861935,22.42741741,Asia,Bangladesh,Bangladesh - Khulna,2017-01-29,10:04
71612,Heliopais personatus,species,Masked Finfoot,1,89.6956584920642,22.18183014975,Asia,Bangladesh,Bangladesh - Khulna,2017-01-26,16:46
71613,Halcyon pileata,species,Black-capped Kingfisher,1,89.7316503932799,21.9206362546379,Asia,Bangladesh,Bangladesh,2017-01-27,07:17
71614,Pelargopsis amauroptera,species,Brown-winged Kingfisher,1,89.7323366920717,21.9193554638892,Asia,Bangladesh,Bangladesh - Khulna,2017-01-27,07:21
71615,Centropus sinensis,species,Greater Coucal,3,89.7528489719866,21.9152456181274,Asia,Bangladesh,Bangladesh - Khulna,2017-01-27,08:16
71616,Pelargopsis amauroptera,species,Brown-winged Kingfisher,1,89.7534556834693,21.916152793258,Asia,Bangladesh,Bangladesh - Khulna,2017-01-27,08:24
71617,Macaca mulatta,species,Rhesus Macaque,3,89.7536026402292,21.9173073373335,Asia,Bangladesh,Bangladesh - Khulna,2017-01-27,08:27
71618,Axis axis,species,Chital,20,89.7785908857706,21.8559995435125,Asia,Bangladesh,Bangladesh - Khulna,2017-01-27,12:53
