,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
122403,Urocyon cinereoargenteus,species,Grey Fox,1,-88.939961493,17.3090143817,North America,Belize,Belize - Cayo,2015-01-18,
122775,Didelphis marsupialis,species,Common Opossum,1,-88.9830062538,17.2213351386,North America,Belize,Belize - Cayo,2015-01-16,
122833,Leopardus pardalis,species,Ocelot,1,-88.9423261955,17.3002268238,North America,Belize,Belize - Cayo,2015-01-07,
46886,Ascia monuste,species,,1,-89.0677211434,17.1573160421,North America,Belize,Belize - Cayo,2015-01-03,
46889,Panthiades bathildes,synonym,Zebra-striped Hairstreak,1,-89.0677211434,17.1573160421,North America,Belize,Belize - Cayo,2015-01-03,
46892,Anartia jatrophae,species,White Peacock,1,-89.0677211434,17.1573160421,North America,Belize,Belize - Cayo,2015-01-03,
46897,Heliconius erato,species,Red Postman,1,-89.0677211434,17.1573160421,North America,Belize,Belize - Cayo,2015-01-03,
46918,Danaus plexippus,species,American Monarch,1,-89.0677211434,17.1573160421,North America,Belize,Belize - Cayo,2015-01-03,
80387,Chaetodon striatus,species,Banded butterflyfish,1,-88.0091857945,17.7390077368,North America,Belize,Belize - Cay Caulker,2014-11-03,11:00
23352,Stelgidopteryx serripennis,species,Northern Rough-winged Swallow,1,-88.0366864801,17.7286063044,North America,Belize,Belize - Cay Caulker,2014-11-04,11:17
24252,Passerculus sandwichensis,species,Savannah Sparrow,4,-88.0283796788,17.734903849,North America,Belize,Belize - Cay Caulker,2014-11-04,10:24
114690,Mycteroperca bonaci,species,Black grouper,1,-88.008499149,17.737209232,North America,Belize,Belize - Cay Caulker,2014-11-03,11:00
93649,Dumetella carolinensis,species,Grey Catbird,1,-88.0259187505559,17.7424039228068,North America,Belize,Belize - Cay Caulker,2014-11-04,09:51
93650,Eudocimus albus,species,American White Ibis,3,-88.0261081059502,17.7424955247282,North America,Belize,Belize - Cay Caulker,2014-11-04,09:54
93651,Streptopelia decaocto,species,Eurasian Collared Dove,6,-88.0260642503893,17.7414715957509,North America,Belize,Belize - Cay Caulker,2014-11-04,09:58
93652,Amazilia rutila,species,Cinnamon Hummingbird,1,-88.0265256512267,17.741051884651,North America,Belize,Belize - Cay Caulker,2014-11-04,10:05
93653,Setophaga ruticilla,species,American Redstart,1,-88.0263626585023,17.7408914594111,North America,Belize,Belize - Cay Caulker,2014-11-04,10:07
93654,Pluvialis squatarola,species,Grey Plover,1,-88.0278013487945,17.7334131959722,North America,Belize,Belize - Cay Caulker,2014-11-04,10:44
93655,Charadrius semipalmatus,species,Semipalmated Plover,1,-88.0278013487945,17.7334131959722,North America,Belize,Belize - Cay Caulker,2014-11-04,10:44
93656,Setophaga petechia,species,Mangrove Warbler,1,-88.027851312741,17.7334446847291,North America,Belize,Belize - Cay Caulker,2014-11-04,10:45
93657,Geothlypis trichas,species,Common Yellowthroat,1,-88.027851312741,17.7334446847291,North America,Belize,Belize - Cay Caulker,2014-11-04,10:45
93658,Pluvialis squatarola,species,Grey Plover,1,-88.0305199436194,17.7308369351987,North America,Belize,Belize - Cay Caulker,2014-11-04,11:04
93659,Arenaria interpres,species,Ruddy Turnstone,5,-88.0304605299988,17.7308411508495,North America,Belize,Belize - Cay Caulker,2014-11-04,11:05
93660,Actitis macularius,species,Spotted Sandpiper,1,-88.0366612969737,17.7287488900474,North America,Belize,Belize - Cay Caulker,2014-11-04,11:21
93661,Coereba flaveola,species,Bananaquit,1,-88.032652649156,17.7295333980605,North America,Belize,Belize - Cay Caulker,2014-11-04,11:34
93662,Tringa semipalmata,species,Willet,1,-88.0300024915227,17.7310954830333,North America,Belize,Belize - Cay Caulker,2014-11-04,11:51
93663,Calidris minutilla,species,Least Sandpiper,2,-88.0300295029129,17.7311236055851,North America,Belize,Belize - Cay Caulker,2014-11-04,11:51
93664,Actitis macularius,species,Spotted Sandpiper,1,-88.0300295029129,17.7311236055851,North America,Belize,Belize - Cay Caulker,2014-11-04,11:51
93665,Egretta rufescens,species,Reddish Egret,1,-88.0298777895211,17.7315964886088,North America,Belize,Belize - Cay Caulker,2014-11-04,11:54
93666,Nyctanassa violacea,species,Yellow-crowned Night Heron,1,-88.0279704360436,17.7332056059897,North America,Belize,Belize - Cay Caulker,2014-11-04,12:02
98109,Zenaida asiatica,species,White-winged Dove,1,-88.0272269817834,17.7381783118935,North America,Belize,Belize - Cay Caulker,2014-11-03,14:54
98110,Eudocimus albus,species,American White Ibis,3,-88.0259727399083,17.7421443624363,North America,Belize,Belize - Cay Caulker,2014-11-03,15:03
98111,Arenaria interpres,species,Ruddy Turnstone,4,-88.0236111170629,17.7465918531466,North America,Belize,Belize - Cay Caulker,2014-11-03,15:40
98112,Ginglymostoma cirratum,species,Nurse Shark,10,-88.0065527558,17.7383034092,North America,Belize,Belize - Cay Caulker,2014-11-03,11:00
100744,Fregata magnificens,species,Magnificent Frigatebird,8,-88.0243550839835,17.7423266413489,North America,Belize,Belize - Cay Caulker,2014-11-03,07:27
100745,Setophaga dominica,species,Yellow-throated Warbler,1,-88.024355084,17.7423266413,North America,Belize,Belize - Cay Caulker,2014-11-02,16:30
102872,Parkesia noveboracensis,species,Northern Waterthrush,1,-88.564659822199,17.3234474750113,North America,Belize,Belize - Cayo,2014-11-02,13:23
102873,Charadrius vociferus,species,Killdeer,1,-88.6,17.3,North America,Belize,Belize - Cayo,2014-11-02,13:23
102874,Psilorhinus morio,species,Brown Jay,1,-88.5648412491638,17.3237338532495,North America,Belize,Belize - Cayo,2014-11-02,13:56
102875,Setophaga magnolia,species,Magnolia Warbler,1,-88.5648412491638,17.3237338532495,North America,Belize,Belize - Cayo,2014-11-02,13:56
12925,Sporophila morelleti,species,Morelet's Seedeater,5,-88.53904118,17.36566315,North America,Belize,Belize - Belize,2014-07-21,14:41
39933,Schiffornis veraepacis veraepacis,subspecies,Northern Schiffornis ssp veraepacis,1,-88.640441894531,16.783505561928,North America,Belize,Belize - Belize,2005-08-10,
39961,Pyrocephalus obscurus,species,Vermilion Flycatcher,1,-88.544311523438,17.698978562262,North America,Belize,Belize - Orange Walk,2005-08-10,
4357,Sporophila morelleti,species,Morelet's Seedeater,10,-88.65966796875,16.736167140985,North America,Belize,Belize - Belize,2005-07-15,
5470,Myiobius sulphureipygius sulphureipygius,subspecies,Sulphur-rumped Myiobius ssp sulphureipygius,2,-88.648681640625,16.730906589734,North America,Belize,Belize - Belize,2005-07-15,
81010,Pelecanus occidentalis,species,Brown Pelican,1,-88.0163405919,17.763700183,North America,Belize,Belize - Cay Caulker,2012-01-12,
81024,Leucophaeus atricilla,species,Laughing Gull,1,-88.0324602127,17.7409315713,North America,Belize,Belize - Cay Caulker,2012-01-10,
81026,Pelecanus occidentalis,species,Brown Pelican,1,-88.0324602127,17.7409315713,North America,Belize,Belize - Cay Caulker,2012-01-10,
81336,Egretta caerulea,species,Little Blue Heron,1,-88.01522717506519,17.7696989586,North America,Belize,Belize - Cay Caulker,2012-01-06,
81339,Calidris minutilla,species,Least Sandpiper,10,-88.03211689,17.7389695862,North America,Belize,Belize - Cay Caulker,2012-01-06,
81340,Himantopus mexicanus,species,Black-necked Stilt,1,-88.033490181,17.7363535728,North America,Belize,Belize - Cay Caulker,2012-01-06,
81341,Sphyrapicus varius,species,Yellow-bellied Sapsucker,1,-88.030743599,17.7379885857,North America,Belize,Belize - Cay Caulker,2012-01-06,
81342,Mimus gilvus,species,Tropical Mockingbird,1,-88.01472112994463,17.7718704758,North America,Belize,Belize - Cay Caulker,2012-01-06,
81344,Dumetella carolinensis,species,Grey Catbird,1,-88.0300569534,17.7386425867,North America,Belize,Belize - Cay Caulker,2012-01-06,
81345,Patagioenas leucocephala,species,White-crowned Pigeon,1,-88.0286836624,17.7396235836,North America,Belize,Belize - Cay Caulker,2012-01-06,
81357,Eudocimus albus,species,American White Ibis,1,-88.0163405919,17.763700183,North America,Belize,Belize - Cay Caulker,2012-01-06,
81358,Coereba flaveola,species,Bananaquit,1,-88.0252504349,17.7392965852,North America,Belize,Belize - Cay Caulker,2012-01-06,
81359,Setophaga petechia bryanti,subspecies,Mangrove Warbler ssp bryanti,1,-88.0283403397,17.7428935348,North America,Belize,Belize - Cay Caulker,2012-01-06,
81363,Thalasseus acuflavidus,species,Cabot's Tern,1,-88.0276536942,17.7520490803,North America,Belize,Belize - Cay Caulker,2012-01-06,
81364,Fregata magnificens,species,Magnificent Frigatebird,30,-88.0194139481,17.7631658987,North America,Belize,Belize - Cay Caulker,2012-01-06,
53020,Turdus assimilis,species,White-throated Thrush,1,-88.6061401367,16.7550886204,North America,Belize,Belize - Belize,2003-07-09,
53030,Melanerpes santacruzi,species,Velasquez's Woodpecker,1,-88.6061401367,16.7550886204,North America,Belize,Belize - Belize,2003-07-09,
53039,Phaethornis striigularis saturatus,subspecies,Stripe-throated Hermit ssp saturatus,1,-88.6061401367,16.7550886204,North America,Belize,Belize - Belize,2003-07-09,
53063,Phaethornis striigularis saturatus,subspecies,Stripe-throated Hermit ssp saturatus,1,-88.6061401367,16.7550886204,North America,Belize,Belize - Belize,2003-07-09,
53779,Sporophila morelleti,species,Morelet's Seedeater,1,-88.85518043898628,17.820400585263002,North America,Belize,Belize - Orange Walk,2003-07-01,
53789,Pyrocephalus obscurus,species,Vermilion Flycatcher,1,-88.85518043898628,17.820400585263002,North America,Belize,Belize - Orange Walk,2003-07-01,
53795,Melanerpes santacruzi,species,Velasquez's Woodpecker,1,-88.85518043898628,17.820400585263002,North America,Belize,Belize - Orange Walk,2003-07-01,
113714,Erythrodiplax berenice,species,Seaside Dragonlet,1,-87.8317451477,18.301728693,North America,Belize,Belize - Corozal,2011-10-18,
113727,Falco columbarius,species,Merlin,1,-87.8360366821,18.262935575,North America,Belize,Belize - Corozal,2011-10-18,
113750,Cyanocorax yucatanicus,species,Yucatan Jay,1,-87.8307151794,18.3028695357,North America,Belize,Belize - Corozal,2011-10-18,
113754,Melanerpes santacruzi,species,Velasquez's Woodpecker,1,-87.8307151794,18.3028695357,North America,Belize,Belize - Corozal,2011-10-18,
113755,Megaceryle alcyon,species,Belted Kingfisher,1,-87.8307151794,18.3028695357,North America,Belize,Belize - Corozal,2011-10-18,
113763,Calidris minutilla,species,Least Sandpiper,1,-87.8307151794,18.3028695357,North America,Belize,Belize - Corozal,2011-10-18,
113766,Falco sparverius,species,American Kestrel,1,-87.8307151794,18.3028695357,North America,Belize,Belize - Corozal,2011-10-18,
113767,Pandion haliaetus,species,Western Osprey,1,-87.8307151794,18.3028695357,North America,Belize,Belize - Corozal,2011-10-18,
113769,Nyctanassa violacea,species,Yellow-crowned Night Heron,1,-87.8307151794,18.3028695357,North America,Belize,Belize - Corozal,2011-10-18,
113772,Pelecanus occidentalis,species,Brown Pelican,1,-87.8307151794,18.3028695357,North America,Belize,Belize - Corozal,2011-10-18,
113775,Spatula discors,species,Blue-winged Teal,30,-87.8307151794,18.3028695357,North America,Belize,Belize - Corozal,2011-10-18,
115323,Nyctanassa violacea,species,Yellow-crowned Night Heron,1,-87.8351783752,18.2840039227,North America,Belize,Belize - Corozal,2011-10-17,
56069,Triacanthagyna caribbea,species,Caribbean Duskhawker,1,-88.98333,16.96667,North America,Belize,Belize - Cayo,1996-01-05,
56856,Tramea calverti,species,Striped Saddlebags,1,-88.8,16.1,North America,Belize,Belize - Toledo,1996-01-08,
56916,Tholymis citrina,species,Evening Skimmer,1,-88.98333,16.96667,North America,Belize,Belize - Cayo,1996-01-05,
63965,Orthemis ferruginea,species,Roseate Skimmer,1,-88.76667,17.25,North America,Belize,Belize - Cayo,1996-01-04,
71486,Ischnura ramburii,species,Rambur's Forktail,1,-88.76667,17.25,North America,Belize,Belize - Cayo,1996-01-04,
72333,Ischnura hastata,species,Citrine Forktail,1,-88.76667,17.25,North America,Belize,Belize - Cayo,1996-01-04,
73571,Gynacantha nervosa,species,Twilight Darner,1,-88.98333,16.96667,North America,Belize,Belize - Cayo,1996-01-05,
75572,Erythrodiplax umbrata,species,Band-winged Dragonlet,1,-88.98333,16.96667,North America,Belize,Belize - Cayo,1996-01-05,
83539,Cannaphila insularis,species,Gray-waisted Skimmer,1,-88.9833,16.9667,North America,Belize,Belize - Cayo,1983-07-22,
111482,Pyrocephalus obscurus,species,Vermilion Flycatcher,1,-87.9589462281,17.930808804,North America,Belize,Belize - Corozal,2009-12-14,
73377,Conocarpus erectus,species,Button Mangrove,1,-87.8749662638,18.2636283854,North America,Belize,Belize - Corozal,2011-04-28,
73514,Lantana camara,species,Largeleaf lantana,1,-87.8488951921,18.3135136429,North America,Belize,Belize - Corozal,2011-04-28,
76225,Fregata magnificens,species,Magnificent Frigatebird,1,-88.0334472656,17.7774587142,North America,Belize,Belize - Cay Caulker,2007-04-25,
71986,Sporophila morelleti,species,Morelet's Seedeater,1,-88.6782073974,16.903113921,North America,Belize,Belize - Cayo,2005-08-07,
72121,Myiobius sulphureipygius sulphureipygius,subspecies,Sulphur-rumped Myiobius ssp sulphureipygius,1,-88.8663482666,16.6098739195,North America,Belize,Belize - Toledo,2005-08-04,
72254,Amazona guatemalae guatemalae,subspecies,Northern Mealy Amazon ssp guatemalae,1,-88.8320159912,17.1867150062,North America,Belize,Belize - Cayo,2005-08-01,
45606,Rissa tridactyla,species,Black-legged Kittiwake,1,-88.0232334137,17.7472969748,North America,Belize,Belize - Cay Caulker,2000-01-09,
69450,Eudocimus albus,species,American White Ibis,1,-88.0285549164,17.7333178594,North America,Belize,Belize - Cay Caulker,2004-12-01,
69451,Pandion haliaetus ridgwayi,subspecies,Western Osprey ssp ridgwayi,1,-88.0285549164,17.7333178594,North America,Belize,Belize - Cay Caulker,2004-12-01,
69453,Egretta caerulea,species,Little Blue Heron,1,-88.0285549164,17.7333178594,North America,Belize,Belize - Cay Caulker,2004-12-01,
69455,Fregata magnificens,species,Magnificent Frigatebird,2,-88.0285549164,17.7333178594,North America,Belize,Belize - Cay Caulker,2004-12-01,
69457,Nyctanassa violacea violacea,subspecies,Yellow-crowned Night Heron ssp violacea,1,-88.0285549164,17.7333178594,North America,Belize,Belize - Cay Caulker,2004-12-01,
69460,Leucophaeus atricilla,species,Laughing Gull,1,-88.0285549164,17.7333178594,North America,Belize,Belize - Cay Caulker,2004-12-01,
69493,Basiliscus vittatus,species,Striped Basilisk,1,-88.0288982391,17.7320752189,North America,Belize,Belize - Cay Caulker,2004-11-30,
69495,Pandion haliaetus ridgwayi,subspecies,Western Osprey ssp ridgwayi,1,-88.0319023132,17.7307126638,North America,Belize,Belize - Cay Caulker,2004-11-30,
69497,Melanerpes santacruzi,species,Velasquez's Woodpecker,1,-88.0319023132,17.7307126638,North America,Belize,Belize - Cay Caulker,2004-11-30,
69514,Eudocimus albus,species,American White Ibis,1,-88.0303573608,17.731175934,North America,Belize,Belize - Cay Caulker,2004-11-30,
69515,Egretta caerulea,species,Little Blue Heron,1,-88.0303573608,17.731175934,North America,Belize,Belize - Cay Caulker,2004-11-30,
69516,Fregata magnificens,species,Magnificent Frigatebird,1,-88.0303573608,17.731175934,North America,Belize,Belize - Cay Caulker,2004-11-30,
70443,Fregata magnificens,species,Magnificent Frigatebird,1,-88.0279541016,17.7331380043,North America,Belize,Belize - Cay Caulker,2004-11-29,
83176,Fregata magnificens,species,Magnificent Frigatebird,10,-88.02498458627,17.746397904568724,North America,Belize,Belize - Cay Caulker,2020-01-18,14:35
75613,Buteo plagiatus,species,Grey Hawk,1,-88.30992937,17.58724872,North America,Belize,Belize - Belize,1995-03-09,
35583,Caretta caretta,species,Loggerhead,1,-87.99470812,17.83541789,North America,Belize,Belize - Belize,2019-09-24,
35589,Trichechus manatus manatus,subspecies,Caribbean Manatee,1,-88.00454915,17.806267,North America,Belize,Belize - Cay Caulker,2019-09-24,
36541,Pelecanus occidentalis,species,Brown Pelican,12,-88.0237731933594,17.7478923797607,North America,Belize,Belize - Cay Caulker,2019-09-23,06:56
36542,Calidris minutilla,species,Least Sandpiper,4,-88.0237731933594,17.7478923797607,North America,Belize,Belize - Cay Caulker,2019-09-23,06:57
