,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
103758,Lophonetta specularioides,species,Crested Duck,1,-67.649331021,-22.5355513262,South America,Bolivia,Bolivia - Eduardo Avaroa National Reserve of Andean Fauna,2008-12-29,
103770,Phrygilus dorsalis,species,Red-backed Sierra Finch,1,-67.649331021,-22.5355513262,South America,Bolivia,Bolivia - Eduardo Avaroa National Reserve of Andean Fauna,2008-12-29,
103825,Phoenicoparrus jamesi,species,James's Flamingo,1,-67.7709196477189,-22.21378756236139,South America,Bolivia,Bolivia - Laguna Colorada,2008-12-29,
103849,Phoenicopterus chilensis,species,Chilean Flamingo,1,-67.2162720682,-21.2274706652,South America,Bolivia,"Bolivia - Colcha ""K"" (Potosí)",2008-12-28,
103850,Lophonetta specularioides,species,Crested Duck,1,-67.2162720682,-21.2274706652,South America,Bolivia,"Bolivia - Colcha ""K"" (Potosí)",2008-12-28,
103966,Chloephaga melanoptera,species,Andean Goose,1,-67.2162720682,-21.2274706652,South America,Bolivia,"Bolivia - Colcha ""K"" (Potosí)",2008-12-28,
103978,Sicalis uropigyalis,species,Bright-rumped Yellow Finch,1,-67.1664473548,-21.1576211507,South America,Bolivia,"Bolivia - Colcha ""K"" (Potosí)",2008-12-28,
104039,Phrygilus atriceps,species,Black-hooded Sierra Finch,1,-67.6255559203,-20.2430043684,South America,Bolivia,Bolivia - Salar de Uyuni,2008-12-27,
12548,Cinclodes albiventris,species,Cream-winged Cinclodes,1,-68.6797910929,-16.5615361228,South America,Bolivia,Bolivia - Tiahuanacu (La Paz),1997-09-30,
20734,Basileuterus punctipectus,species,Yungas Warbler,2,-67.8742003441,-16.2187232588,South America,Bolivia,Bolivia - Cotapata NP,1997-09-27,
29617,Cinclodes albiventris,species,Cream-winged Cinclodes,25,-68.0522346497,-16.2880940156,South America,Bolivia,Bolivia - Cotapata NP,1997-09-25,
45528,Cinclodes albiventris,species,Cream-winged Cinclodes,1,-69.0816557407,-16.157644407,South America,Bolivia,Bolivia - Copacabana (La Paz),1997-09-23,
45549,Cinclodes albiventris,species,Cream-winged Cinclodes,3,-69.0842199326,-16.1595096111,South America,Bolivia,Bolivia - Copacabana (La Paz),1997-09-23,
45817,Cinclodes albiventris,species,Cream-winged Cinclodes,2,-69.2041629553,-15.9904287606,South America,Bolivia,Bolivia - Copacabana (La Paz),1997-09-22,
62578,Cinclodes albiventris,species,Cream-winged Cinclodes,3,-67.6464056969,-22.5199307288,South America,Bolivia,Bolivia - Eduardo Avaroa National Reserve of Andean Fauna,1997-09-19,
103108,Alouatta sara,species,Bolivian Red Howler Monkey,2,-66.753385663,-14.1179336514,South America,Bolivia,Bolivia - Beni - José Ballivián,2013-03-21,
1253,Cinclodes albiventris,species,Cream-winged Cinclodes,2,-64.8079419136,-21.4954809273,South America,Bolivia,Bolivia - Dpto. Tarija,2000-09-08,
1979,Cinclodes albiventris,species,Cream-winged Cinclodes,1,-64.8308372498,-21.5407150671,South America,Bolivia,Bolivia - Dpto. Tarija,2000-09-07,
49541,Momotus momota,species,Amazonian Motmot,1,-63.0698,-17.7675,South America,Bolivia,Bolivia - Santa Cruz de la Sierra (Santa Cruz),2014-12-18,16:36
49542,Athene cunicularia,species,Burrowing Owl,1,-63.1622,-17.9405,South America,Bolivia,Bolivia - La Guardia (Santa Cruz),2014-12-18,11:19
52734,Icterus pyrrhopterus periporphyrus,subspecies,Variable Oriole ssp periporphyrus,1,-63.6761,-17.3922,South America,Bolivia,Bolivia - Buena Vista (Santa Cruz),2014-12-17,13:55
60159,Basileuterus punctipectus,species,Yungas Warbler,1,-65.5084,-17.1042,South America,Bolivia,Bolivia - Tiraque (Cochabamba),2014-12-15,10:41
60161,Accipiter ventralis,species,Plain-breasted Hawk,1,-65.9478,-17.2214,South America,Bolivia,Bolivia - Colomi (Cochabamba),2014-11-26,17:58
40423,Knipolegus aterrimus,species,White-winged Black Tyrant,1,-66.1716,-17.3038,South America,Bolivia,Bolivia - Cochabamba (Cochabamba),2014-11-08,09:40
49575,Phrygilus atriceps,species,Black-hooded Sierra Finch,1,-67.6267146854121,-20.2404282811284,South America,Bolivia,Bolivia - Salar de Uyuni,2014-11-04,16:54
49576,Phrygilus dorsalis,species,Red-backed Sierra Finch,1,-68.0394183584358,-21.5738084971808,South America,Bolivia,"Bolivia - Colcha ""K"" (Potosí)",2014-11-05,14:12
49577,Lagidium viscacia,species,Southern Viscacha,1,-68.0037061375866,-21.7879306675806,South America,Bolivia,"Bolivia - Colcha ""K"" (Potosí)",2014-11-05,15:14
49578,Recurvirostra andina,species,Andean Avocet,2,-67.8009087036809,-22.1729880098351,South America,Bolivia,Bolivia - Laguna Colorada,2014-11-05,17:07
9451,Lycalopex culpaeus,species,Culpeo,1,-67.41824889346708,-20.82319600456,South America,Bolivia,"Bolivia - Colcha ""K"" (Potosí)",2007-09-06,
11105,Rollandia microptera,species,Titicaca Grebe,3,-69.0954136550995,-16.1744156214597,South America,Bolivia,Bolivia - Copacabana (La Paz),2014-10-26,13:31
11106,Rollandia microptera,species,Titicaca Grebe,41,-69.1000811752546,-16.1786651674814,South America,Bolivia,Bolivia - Copacabana (La Paz),2014-10-27,06:52
11108,Rollandia microptera,species,Titicaca Grebe,1,-69.0904637825974,-16.1654107111311,South America,Bolivia,Bolivia - Copacabana (La Paz),2014-10-27,08:21
11109,Falco sparverius,species,American Kestrel,2,-69.1556086153915,-16.0330663913048,South America,Bolivia,Bolivia - Copacabana (La Paz),2014-10-27,11:14
53391,Cinclodes albiventris,species,Cream-winged Cinclodes,1,-66.3381403686,-17.2724004009,South America,Bolivia,Bolivia - Quillacollo (Cochabamba),2014-10-14,
53427,Colaptes melanochloros,species,Green-barred Woodpecker,1,-66.225,-17.294,South America,Bolivia,Bolivia - Tiquipaya (Cochabamba),2014-10-08,
56444,Knipolegus aterrimus,species,White-winged Black Tyrant,1,-66.1309003839,-17.409397983,South America,Bolivia,Bolivia - Cochabamba - Laguna Alalay,2014-10-04,
56449,Colaptes melanochloros,species,Green-barred Woodpecker,3,-66.1309003839,-17.409397983,South America,Bolivia,Bolivia - Cochabamba - Laguna Alalay,2014-10-04,
56458,Gallinula galeata,species,Common Gallinule,1,-66.1309003839,-17.409397983,South America,Bolivia,Bolivia - Cochabamba - Laguna Alalay,2014-10-04,
