,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
38195,Macaca fascicularis,species,Long-tailed Macaque,1,103.865897655,13.4133296615,Asia,Cambodia,Cambodia - Siemréab,2014-02-05,12:22
41421,Copsychus saularis,species,Oriental Magpie-Robin,2,104.93124783,11.5626039993,Asia,Cambodia,Cambodia - Phnom Penh,2014-01-31,17:02
41423,Acridotheres tristis,species,Common Myna,1,104.931494594,11.5620206322,Asia,Cambodia,Cambodia - Phnom Penh,2014-01-31,17:17
41458,Passer montanus malaccensis,subspecies,Eurasian Tree Sparrow ssp malaccensis,1,104.931591153,11.561938295,Asia,Cambodia,Cambodia - Phnom Penh,2014-01-31,17:03
41488,Macaca fascicularis,species,Long-tailed Macaque,1,104.931730628,11.5631400653,Asia,Cambodia,Cambodia - Phnom Penh,2014-01-31,14:31
57803,Kaloula pulchra,species,Banded Bullfrog,1,103.865654524,13.3537285136,Asia,Cambodia,Cambodia - Siemréab,2015-02-26,07:00
62834,Orcaella brevirostris,species,Irrawaddy Dolphin,1,106.003764868,12.6269326561,Asia,Cambodia,Cambodia - Krâchéh,2007-12-25,13:05
64030,Trithemis pallidinervis,species,,1,103.859063499,13.447017192,Asia,Cambodia,Cambodia - Siemréab,2015-02-25,16:00
64048,Cyornis hainanus,species,Hainan Blue Flycatcher,1,103.878536671,13.4465993141,Asia,Cambodia,Cambodia - Siemréab,2015-02-25,10:00
64055,Brachythemis contaminata,species,Asian Amberwing,1,103.864266984,13.4131124259,Asia,Cambodia,Cambodia - Siemréab,2015-02-25,09:00
64056,Crocothemis servilia,species,Oriental Scarlet,1,103.864266984,13.4131124259,Asia,Cambodia,Cambodia - Siemréab,2015-02-25,09:00
71528,Acridotheres tristis,species,Common Myna,1,103.865640275,13.3538276003,Asia,Cambodia,Cambodia - Siemréab,2015-02-24,09:00
