,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
1490,Allograpta fuscotibialis,species,,3,42.647,11.765,Africa,Djibouti,Djibouti - Tadjourah,2014-12-29,
81641,Pantala flavescens,species,Wandering Glider,1,43.146,11.558,Africa,Djibouti,Djibouti - Djibouti,2015-01-01,20:00
82272,Orthetrum sabina,species,Slender Skimmer,1,42.577,11.171,Africa,Djibouti,Djibouti - Dikhil,2014-12-31,
82335,Orthetrum sabina,species,Slender Skimmer,3,43.146,11.558,Africa,Djibouti,Djibouti,2014-12-31,
82693,Argemone mexicana,species,Mexican Poppy,1,42.642,11.784,Africa,Djibouti,Djibouti - Tadjourah,2014-12-29,
73461,Pantala flavescens,species,Wandering Glider,1,43.14639873,11.5576836,Africa,Djibouti,Djibouti - Djibouti,2015-01-01,18:35
79685,Lanius excubitor,species,Great Grey Shrike,2,42.57590243,11.17047185,Africa,Djibouti,Djibouti - Dikhil,2014-12-31,13:00
79686,Eremopterix nigriceps,species,Black-crowned Sparrow-Lark,1,42.64405714,11.21773494,Africa,Djibouti,Djibouti - Dikhil,2014-12-31,16:11
79688,Lanius excubitor,species,Great Grey Shrike,1,42.75045009,11.10680126,Africa,Djibouti,Djibouti - Ali Sabieh,2014-12-31,18:04
79689,Litocranius walleri,species,Gerenuk,2,42.80753706,11.01825161,Africa,Djibouti,Djibouti - Ali Sabieh,2015-01-01,10:31
79690,Madoqua saltiana,species,Salt's Dikdik,2,42.80748925,11.01675047,Africa,Djibouti,Djibouti - Ali Sabieh,2015-01-01,12:00
79691,Alaemon alaudipes,species,Greater Hoopoe-Lark,3,42.71780903,11.348512,Africa,Djibouti,Djibouti - Ali Sabieh,2015-01-01,16:04
97604,Litocranius walleri sclateri,subspecies,Northern Gerenuk,2,42.69295568,11.4313604,Africa,Djibouti,Djibouti - Dikhil,2014-12-28,09:44
97605,Lanius excubitor,species,Great Grey Shrike,1,42.59888278,11.67811766,Africa,Djibouti,Djibouti - Tadjourah,2014-12-28,13:59
97606,Oreotragus oreotragus,species,Klipspringer,3,42.59840975,11.71062111,Africa,Djibouti,Djibouti - Tadjourah,2014-12-28,14:19
97607,Neophron percnopterus,species,Egyptian Vulture,3,42.63987611,11.77942364,Africa,Djibouti,Djibouti - Tadjourah,2014-12-28,15:41
97608,Neophron percnopterus,species,Egyptian Vulture,6,42.64074567,11.78300303,Africa,Djibouti,Djibouti - Tadjourah,2014-12-28,16:12
97609,Dicrurus divaricatus lugubris,subspecies,Glossy-backed Drongo ssp lugubris,2,42.64154485,11.78246167,Africa,Djibouti,Djibouti - Tadjourah,2014-12-28,17:57
97610,Madoqua saltiana saltiana,subspecies,Salt's Dik-dik ssp saltiana,1,42.65211304,11.77425981,Africa,Djibouti,Djibouti - Tadjourah,2014-12-29,07:31
97611,Heterohyrax brucei,species,Bush Hyrax,1,42.6524471,11.76989293,Africa,Djibouti,Djibouti - Tadjourah,2014-12-29,17:05
97612,Dicrurus divaricatus lugubris,subspecies,Glossy-backed Drongo ssp lugubris,1,42.64221591,11.77403499,Africa,Djibouti,Djibouti - Tadjourah,2014-12-29,17:54
97613,Oreotragus oreotragus,species,Klipspringer,1,42.65454769,11.76579423,Africa,Djibouti,Djibouti - Tadjourah,2014-12-30,06:04
97614,Heterohyrax brucei,species,Bush Hyrax,1,42.65925265,11.75945823,Africa,Djibouti,Djibouti - Tadjourah,2014-12-30,09:26
4703,Dromas ardeola,species,Crab-plover,1,43.1326059,11.59522106,Africa,Djibouti,Djibouti - Djibouti,2014-12-27,06:58
4704,Xenus cinereus,species,Terek Sandpiper,3,43.15263388,11.60089965,Africa,Djibouti,Djibouti - Djibouti,2014-12-27,14:45
4706,Gelochelidon nilotica,species,Gull-billed Tern,1,43.15288479,11.60096511,Africa,Djibouti,Djibouti,2014-12-27,14:52
10235,Passer castanopterus,species,Somali Sparrow,3,43.14986555,11.55237293,Africa,Djibouti,Djibouti - Djibouti,2014-12-26,06:11
10242,Gelochelidon nilotica,species,Gull-billed Tern,1,43.14954681,11.60590096,Africa,Djibouti,Djibouti - Djibouti,2014-12-26,08:30
10243,Merops persicus,species,Blue-cheeked Bee-eater,2,43.14081717,11.53738197,Africa,Djibouti,Djibouti - Djibouti,2014-12-26,10:13
10246,Lanius excubitor,species,Great Grey Shrike,1,43.1263894,11.53074365,Africa,Djibouti,Djibouti - Djibouti,2014-12-26,11:27
10250,Vanellus spinosus,species,Spur-winged Lapwing,8,43.12787345,11.57009693,Africa,Djibouti,Djibouti - Djibouti,2014-12-26,12:51
