,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
70725,Chaetodon lunulatus,species,Redfin Butterflyfish,1,177.184460387,-17.1768752954,Australia,Fiji,Fiji - Yasawa Islands,2010-12-01,
66269,Pseudobulweria rostrata,species,Tahiti Petrel,1,179.50587651,-18.56154044,Australia,Fiji,Fiji - Suva,2014-04-17,18:21
66359,Pseudobulweria rostrata,species,Tahiti Petrel,1,179.19892203,-18.21107756,Australia,Fiji,Fiji - Suva,2014-04-16,18:21
76330,Arundina graminifolia,species,Bamboo orchid,1,178.46,-18.07,Australia,Fiji,Fiji - Viti Levu,2014-04-15,10:22
109861,Pseudobulweria rostrata,species,Tahiti Petrel,1,-179.70820538,-17.0735972,Australia,Fiji,Fiji - Lau,2014-04-13,18:12
109862,Pseudobulweria rostrata,species,Tahiti Petrel,1,-179.71714434,-17.07891528,Australia,Fiji,Fiji - Lau,2014-04-13,18:16
109863,Pseudobulweria rostrata,species,Tahiti Petrel,1,-179.73602809,-17.09012913,Australia,Fiji,Fiji - Lau,2014-04-13,18:24
109864,Pseudobulweria rostrata,species,Tahiti Petrel,1,-179.75902829,-17.10345574,Australia,Fiji,Fiji - Lau,2014-04-13,18:33
109865,Pseudobulweria rostrata,species,Tahiti Petrel,1,-179.81110172,-17.1355074,Australia,Fiji,Fiji - Lau,2014-04-13,18:55
74674,Pterodroma brevipes,species,Collared Petrel,2,-178.41273697,-16.47519525,Australia,Fiji,Fiji - Suva,2014-04-13,10:00
74675,Puffinus bailloni,species,Tropical Shearwater,1,-177.95664847,-16.33808666,Australia,Fiji,Fiji - Suva,2014-04-13,07:20
74865,Pterodroma brevipes,species,Collared Petrel,1,-178.00736916,-16.35420312,Australia,Fiji,Fiji - Suva,2014-04-13,07:38
74866,Puffinus bailloni,species,Tropical Shearwater,2,-178.02642376,-16.35989756,Australia,Fiji,Fiji - Suva,2014-04-13,07:44
74867,Pterodroma brevipes,species,Collared Petrel,1,-178.11661865,-16.38601126,Australia,Fiji,Fiji - Suva,2014-04-13,08:16
74870,Pterodroma brevipes,species,Collared Petrel,1,-178.49324948,-16.5014323,Australia,Fiji,Fiji - Suva,2014-04-13,10:29
74873,Pterodroma brevipes,species,Collared Petrel,1,-178.50903143,-16.50673512,Australia,Fiji,Fiji - Suva,2014-04-13,10:34
74875,Pterodroma brevipes,species,Collared Petrel,3,-178.53405702,-16.51549343,Australia,Fiji,Fiji - Suva,2014-04-13,10:43
74876,Pterodroma brevipes,species,Collared Petrel,1,-178.58434095,-16.53300703,Australia,Fiji,Fiji - Suva,2014-04-13,11:01
74877,Sula sula,species,Red-footed Booby,25,-179.47337182,-16.92183799,Australia,Fiji,Fiji - Suva,2014-04-13,15:36
74879,Puffinus bailloni,species,Tropical Shearwater,1,-177.94651147,-16.33506535,Australia,Fiji,Fiji - Suva,2014-04-13,07:17
74880,Pseudobulweria rostrata,species,Tahiti Petrel,1,-178.60407143,-16.53929992,Australia,Fiji,Fiji - Suva,2014-04-13,11:08
74883,Fregata ariel,species,Lesser Frigatebird,4,-178.6394565,-16.55032015,Australia,Fiji,Fiji - Suva,2014-04-13,11:21
74884,Sula sula,species,Red-footed Booby,3,-179.42051719,-16.88846604,Australia,Fiji,Fiji - Suva,2014-04-13,15:14
74885,Puffinus bailloni,species,Tropical Shearwater,1,-178.04100159,-16.36417206,Australia,Fiji,Fiji - Suva,2014-04-13,07:49
74900,Arenaria interpres,species,Ruddy Turnstone,7,-178.41028705,-19.16105117,Australia,Fiji,Fiji - Suva,2014-04-18,14:10
74902,Tringa brevipes,species,Grey-tailed Tattler,3,-178.41029511,-19.16102646,Australia,Fiji,Fiji - Suva,2014-04-18,14:10
74905,Sula sula,species,Red-footed Booby,6,-178.61929098,-19.19844997,Australia,Fiji,Fiji - Suva,2014-04-18,17:10
75174,Pteropus tonganus,species,Pacific Flying Fox,4,-178.414535522,-19.1737071016,Australia,Fiji,Fiji - Lau,2014-04-18,14:12
75175,Foulehaio carunculatus,species,Polynesian Wattled Honeyeater,6,-178.4080362,-19.15365526,Australia,Fiji,Fiji - Suva,2014-04-18,11:48
75176,Foulehaio carunculatus,species,Polynesian Wattled Honeyeater,2,-178.41033924,-19.16099477,Australia,Fiji,Fiji - Suva,2014-04-18,09:25
75177,Todiramphus sacer marinus,subspecies,Pacific Kingfisher ssp marinus,1,-178.40828341,-19.15611836,Australia,Fiji,Fiji - Suva,2014-04-18,10:07
75178,Pachycephala vitiensis,species,Fiji Whistler,3,-178.40865645,-19.15525177,Australia,Fiji,Fiji - Suva,2014-04-18,11:01
83118,Myzomela jugularis,species,Sulphur-breasted Myzomela,1,178.455047607,-18.017915788,Australia,Fiji,Fiji - Viti Levu,2014-04-18,09:25
60714,Sula sula,species,Red-footed Booby,1,178.92286017,-18.20412829,Australia,Fiji,Fiji - Suva,2014-04-16,13:36
60715,Sula sula,species,Red-footed Booby,1,178.99650395,-18.20016304,Australia,Fiji,Fiji - Suva,2014-04-16,14:01
60716,Pseudobulweria rostrata,species,Tahiti Petrel,1,179.14150266,-18.19636558,Australia,Fiji,Fiji - Suva,2014-04-16,14:50
60717,Pseudobulweria rostrata,species,Tahiti Petrel,3,179.19891522,-18.21107606,Australia,Fiji,Fiji - Suva,2014-04-16,17:26
60718,Stenella longirostris longirostris,subspecies,Gray's Spinner Dolphin,4,179.25308027,-18.42486059,Australia,Fiji,Fiji - Suva,2014-04-17,16:22
60719,Pseudobulweria rostrata,species,Tahiti Petrel,1,179.45422084,-18.53447612,Australia,Fiji,Fiji - Suva,2014-04-17,17:43
54152,Artamus mentalis,species,Fiji Woodswallow,1,178.78951456,-17.68921466,Australia,Fiji,Fiji - Suva,2014-04-14,09:47
54153,Ptilinopus luteovirens,species,Golden Fruit Dove,2,178.78905288,-17.68775451,Australia,Fiji,Fiji - Suva,2014-04-14,09:59
54154,Artamus mentalis,species,Fiji Woodswallow,7,178.76433681,-17.70918021,Australia,Fiji,Fiji - Suva,2014-04-14,11:31
54155,Myiagra castaneigularis whitneyi,subspecies,Chestnut-throated Flycatcher ssp whitneyi,4,178.46761619,-18.06511619,Australia,Fiji,Fiji - Viti Levu,2014-04-15,10:22
54156,Petroica pusilla kleinschmidti,subspecies,Pacific Robin ssp kleinschmidti,2,178.46972702,-18.06573763,Australia,Fiji,Fiji - Viti Levu,2014-04-15,10:49
54157,Myzomela jugularis,species,Sulphur-breasted Myzomela,1,178.4699104,-18.0659417,Australia,Fiji,Fiji - Viti Levu,2014-04-15,10:56
38623,Lamprolia victoriae,species,Taveuni Silktail,1,-179.888448713,-16.8410080622,Australia,Fiji,Fiji - Taveuni northeast,2008-08-25,
38641,Aerodramus spodiopygius assimilis,subspecies,White-rumped Swiftlet ssp assimilis,100,-179.889907835,-16.8417474073,Australia,Fiji,Fiji - Taveuni northeast,2008-08-24,
38912,Aerodramus spodiopygius assimilis,subspecies,White-rumped Swiftlet ssp assimilis,6,178.426269293,-18.1481035496,Australia,Fiji,Fiji - Viti Levu,2008-08-19,
17885,Lamprolia victoriae,species,Taveuni Silktail,3,-179.98626709,-16.8208912912,Australia,Fiji,Fiji - Taveuni northeast,2007-07-11,
118360,Limosa lapponica,species,Bar-tailed Godwit,2,177.42467,-17.710646,Australia,Fiji,Fiji - Viti Levu,2016-10-02,17:07
48246,Pteropus tonganus,species,Pacific Flying Fox,1,-179.98270726,-16.78229143,Australia,Fiji,Fiji - Taveuni northeast,2019-08-01,08:00
65718,Herpestes auropunctatus,species,Small Indian Mongoose,1,178.325,-17.99,Australia,Fiji,Fiji - Viti Levu,2019-08-04,07:00
18852,Foulehaio carunculatus,species,Polynesian Wattled Honeyeater,2,-178.41033924,-19.16099477,Australia,Fiji,Fiji - Lau,2014-04-18,09:25
18853,Pachycephala vitiensis,species,Fiji Whistler,3,-178.40865645,-19.15525177,Australia,Fiji,Fiji - Lau,2014-04-18,11:01
18854,Foulehaio carunculatus,species,Polynesian Wattled Honeyeater,6,-178.4080362,-19.15365526,Australia,Fiji,Fiji - Lau,2014-04-18,11:48
18855,Arenaria interpres,species,Ruddy Turnstone,7,-178.41028705,-19.16105117,Australia,Fiji,Fiji - Lau,2014-04-18,14:10
18856,Tringa brevipes,species,Grey-tailed Tattler,3,-178.41029511,-19.16102646,Australia,Fiji,Fiji - Lau,2014-04-18,14:10
18857,Pteropus tonganus,species,Pacific Flying Fox,4,-178.41032326,-19.16106324,Australia,Fiji,Fiji - Lau,2014-04-18,14:12
18858,Sula sula,species,Red-footed Booby,6,-178.61929098,-19.19844997,Australia,Fiji,Fiji - Lau,2014-04-18,17:10
18890,Puffinus bailloni,species,Tropical Shearwater,1,-177.94651147,-16.33506535,Australia,Fiji,Fiji - Lau,2014-04-13,07:17
18891,Puffinus bailloni,species,Tropical Shearwater,1,-177.95664847,-16.33808666,Australia,Fiji,Fiji - Lau,2014-04-13,07:20
18892,Pterodroma brevipes,species,Collared Petrel,1,-178.00736916,-16.35420312,Australia,Fiji,Fiji - Lau,2014-04-13,07:38
18893,Puffinus bailloni,species,Tropical Shearwater,2,-178.02642376,-16.35989756,Australia,Fiji,Fiji - Lau,2014-04-13,07:44
18894,Puffinus bailloni,species,Tropical Shearwater,1,-178.04100159,-16.36417206,Australia,Fiji,Fiji - Lau,2014-04-13,07:49
18895,Pterodroma brevipes,species,Collared Petrel,1,-178.11661865,-16.38601126,Australia,Fiji,Fiji - Lau,2014-04-13,08:16
18896,Pterodroma brevipes,species,Collared Petrel,2,-178.41273697,-16.47519525,Australia,Fiji,Fiji - Lau,2014-04-13,10:00
18897,Pterodroma brevipes,species,Collared Petrel,1,-178.49324948,-16.5014323,Australia,Fiji,Fiji - Lau,2014-04-13,10:29
18898,Pterodroma brevipes,species,Collared Petrel,1,-178.50903143,-16.50673512,Australia,Fiji,Fiji - Lau,2014-04-13,10:34
18899,Pterodroma brevipes,species,Collared Petrel,3,-178.53405702,-16.51549343,Australia,Fiji,Fiji - Lau,2014-04-13,10:43
18900,Pterodroma brevipes,species,Collared Petrel,1,-178.58434095,-16.53300703,Australia,Fiji,Fiji - Lau,2014-04-13,11:01
18901,Pseudobulweria rostrata,species,Tahiti Petrel,1,-178.60407143,-16.53929992,Australia,Fiji,Fiji - Lau,2014-04-13,11:08
18902,Fregata ariel,species,Lesser Frigatebird,4,-178.6394565,-16.55032015,Australia,Fiji,Fiji - Lau,2014-04-13,11:21
18903,Sula sula,species,Red-footed Booby,3,-179.42051719,-16.88846604,Australia,Fiji,Fiji - Lau,2014-04-13,15:14
18904,Sula sula,species,Red-footed Booby,25,-179.47337182,-16.92183799,Australia,Fiji,Fiji - Lau,2014-04-13,15:36
18905,Pseudobulweria rostrata,species,Tahiti Petrel,1,-179.70820538,-17.0735972,Australia,Fiji,Fiji - Lau,2014-04-13,18:12
18906,Pseudobulweria rostrata,species,Tahiti Petrel,1,-179.71714434,-17.07891528,Australia,Fiji,Fiji - Lau,2014-04-13,18:16
18907,Pseudobulweria rostrata,species,Tahiti Petrel,1,-179.73602809,-17.09012913,Australia,Fiji,Fiji - Lau,2014-04-13,18:24
18908,Pseudobulweria rostrata,species,Tahiti Petrel,1,-179.75902829,-17.10345574,Australia,Fiji,Fiji - Lau,2014-04-13,18:33
18909,Pseudobulweria rostrata,species,Tahiti Petrel,1,-179.81110172,-17.1355074,Australia,Fiji,Fiji - Lau,2014-04-13,18:55
