,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
89246,Haliaeetus albicilla groenlandicus,subspecies,White-tailed Eagle ssp groenlandicus,1,-50.6109237671,67.015473109,North America,Greenland,Greenland,2013-07-07,
4289,Gavia stellata,species,Red-throated Diver,1,-25.4401184899095,70.7860881615326,North America,Greenland,Greenland,2014-09-01,20:31
74854,Rissa tridactyla,species,Black-legged Kittiwake,1,-21.9928550755,70.3031402779,North America,Greenland,Greenland,2013-09-04,
75317,Anthus pratensis,species,Meadow Pipit,1,-21.9626426732,70.4846981157,North America,Greenland,Greenland,2013-09-04,
75319,Anthus pratensis,species,Meadow Pipit,1,-21.9729423558,70.4903744731,North America,Greenland,Greenland,2013-09-04,
75497,Larus hyperboreus hyperboreus,subspecies,Glaucous Gull ssp hyperboreus,1,-21.9746589696,70.490890427,North America,Greenland,Greenland,2013-09-04,
76078,Larus hyperboreus hyperboreus,subspecies,Glaucous Gull ssp hyperboreus,1,-27.656250447,70.7456516576,North America,Greenland,Greenland,2013-09-02,
10222,Haliaeetus albicilla groenlandicus,subspecies,White-tailed Eagle ssp groenlandicus,1,-51.8823623666,63.9643196371,North America,Greenland,Greenland,2008-02-10,
13830,Haliaeetus albicilla groenlandicus,subspecies,White-tailed Eagle ssp groenlandicus,1,-51.7372083668,64.1751071435,North America,Greenland,Greenland - Nuuk,2008-02-08,
121574,Stercorarius skua,species,Great Skua,1,-21.181640625,68.9741635834,North America,Greenland,Greenland,2013-09-05,
121575,Rissa tridactyla,species,Black-legged Kittiwake,1,-21.181640625,68.9741635834,North America,Greenland,Greenland,2013-09-05,
121576,Fulmarus glacialis auduboni,subspecies,Northern Fulmar ssp auduboni,1,-21.181640625,68.9741635834,North America,Greenland,Greenland,2013-09-05,
121577,Uria aalge aalge,subspecies,Atlantic Murre,1,-21.181640625,68.9741635834,North America,Greenland,Greenland,2013-09-05,
66546,Taraxacum officinale s.l. (incl. all sec.),species,Common Dandelion,1,-21.9705963135,70.4850249792,North America,Greenland,Greenland,2013-09-04,
66630,Oxyria digyna,species,Mountain Sorrel,1,-21.9705963135,70.4850249792,North America,Greenland,Greenland,2013-09-04,
66632,Epilobium latifolium,species,,1,-21.9705963135,70.4850249792,North America,Greenland,Greenland,2013-09-04,
66641,Eriophorum scheuchzeri,species,White cottongrass,1,-21.9705963135,70.4850249792,North America,Greenland,Greenland,2013-09-04,
66646,Saxifraga cernua,species,Drooping Saxifrage,1,-21.9705963135,70.4850249792,North America,Greenland,Greenland,2013-09-04,
66665,Polygonum viviparum,synonym,,1,-21.9705963135,70.4850249792,North America,Greenland,Greenland,2013-09-04,
66675,Oxyria digyna,species,Mountain Sorrel,1,-21.9705963135,70.4850249792,North America,Greenland,Greenland,2013-09-04,
66678,Cerastium alpinum,species,Alpine Mouse-ear,1,-21.9705963135,70.4850249792,North America,Greenland,Greenland,2013-09-04,
67020,Rissa tridactyla,species,Black-legged Kittiwake,1,-21.5310573578,69.1986162975,North America,Greenland,Greenland,2013-09-04,
67025,Fulmarus glacialis glacialis,subspecies,Northern Fulmar ssp glacialis,1,-21.5310573578,69.1986162975,North America,Greenland,Greenland,2013-09-04,
67030,Calidris canutus,species,Red Knot,1,-21.9705104828,70.4854263835,North America,Greenland,Greenland,2013-09-04,
67091,Calidris maritima,species,Purple Sandpiper,1,-21.9705104828,70.4854263835,North America,Greenland,Greenland,2013-09-04,
67092,Oenanthe oenanthe leucorhoa,subspecies,Greenland Northern Wheatear,1,-21.9705104828,70.4854263835,North America,Greenland,Greenland,2013-09-04,
67094,Anthus pratensis,species,Meadow Pipit,1,-21.9705104828,70.4854263835,North America,Greenland,Greenland,2013-09-04,
67099,Arenaria interpres interpres,subspecies,Ruddy Turnstone ssp interpres,1,-21.9705104828,70.4854263835,North America,Greenland,Greenland,2013-09-04,
72352,Potentilla crantzii,species,Alpine Cinquefoil,1,-25.0646209717,71.293967423,North America,Greenland,Greenland,2013-09-03,
72357,Rhodiola rosea,synonym,Rosewort,1,-25.0646209717,71.293967423,North America,Greenland,Greenland,2013-09-03,
