,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
68108,Aeria eurimedia,species,,1,-88.9892718941,15.6778531587,North America,Guatemala,Guatemala - Río Dulce NP,2015-02-09,
68165,Pareuptychia ocirrhoe,species,,1,-88.9893292263,15.6777706826,North America,Guatemala,Guatemala,2015-02-09,
68259,Eumaeus toxea,species,Mexican Cycadian,1,-88.9891468361,15.6781632103,North America,Guatemala,Guatemala - Río Dulce NP,2015-02-08,
4031,Nasua narica,species,White-nosed Coati,25,-89.6266076714,17.2206382839,North America,Guatemala,Guatamala - Tikal NP,2003-12-06,
102724,Cathartes aura,species,Turkey Vulture,1,-89.0403556826,15.2707387953,North America,Guatemala,Guatemala,2014-10-31,12:24
26949,Mniotilta varia,species,Black-and-white Warbler,1,-89.6127033238,17.2252459943,North America,Guatemala,Guatamala - Tikal NP,2014-11-05,16:56
86866,Ardea herodias,species,Great Blue Heron,1,-88.7511777882,15.82113358,North America,Guatemala,Guatemala,2014-11-01,11:52
52325,Nasua narica,species,White-nosed Coati,1,-89.6234503930398,17.2230019669714,North America,Guatemala,Guatamala - Tikal NP,2014-11-05,17:25
52326,Meleagris ocellata,species,Ocellated Turkey,5,-89.6233454953134,17.2230968383214,North America,Guatemala,Guatamala - Tikal NP,2014-11-05,17:26
52327,Psarocolius montezuma,species,Montezuma Oropendola,1,-89.6233454953134,17.2230968383214,North America,Guatemala,Guatamala - Tikal NP,2014-11-05,17:26
52328,Trogon massena,species,Slaty-tailed Trogon,1,-89.6300150736267,17.2229304323121,North America,Guatemala,Guatamala - Tikal NP,2014-11-06,08:01
52329,Pteroglossus torquatus,species,Collared Aracari,3,-89.6253352968739,17.2206812156004,North America,Guatemala,Guatamala - Tikal NP,2014-11-06,08:57
52330,Myiozetetes similis,species,Social Flycatcher,2,-89.6116861125,17.2263847549,North America,Guatemala,Guatamala - Tikal NP,2014-11-06,11:01
112887,Phalacrocorax brasilianus,species,Neotropic Cormorant,100,-88.8287035535,15.7707494578,North America,Guatemala,Guatemala - Río Dulce NP,2014-11-01,11:51
112888,Pelecanus occidentalis,species,Brown Pelican,40,-88.7497393201293,15.8255882722546,North America,Guatemala,Guatemala,2014-11-01,11:52
112889,Jacana spinosa,species,Northern Jacana,3,-88.8225671508,15.775454518,North America,Guatemala,Guatemala - Río Dulce NP,2014-11-01,11:52
112890,Thalasseus maximus,species,Royal Tern,30,-88.7538596846,15.819350513,North America,Guatemala,Guatemala,2014-11-01,11:53
112891,Leucophaeus atricilla,species,Laughing Gull,20,-88.7510490435,15.8213895758,North America,Guatemala,Guatemala,2014-11-01,11:53
112892,Thalasseus acuflavidus,species,Cabot's Tern,2,-88.7548008646,15.8159134369,North America,Guatemala,Guatemala,2014-11-01,14:54
122232,Melanerpes santacruzi,species,Velasquez's Woodpecker,1,-89.041786522936,15.2737515184329,North America,Guatemala,Guatemala,2014-10-31,13:15
12912,Fulica americana,species,American Coot,2,-91.16292354,14.73997746,North America,Guatemala,Guatemala - Sololá,2014-07-16,07:34
12916,Sporophila morelleti,species,Morelet's Seedeater,1,-88.99111545,15.65611948,North America,Guatemala,Guatemala - Río Dulce NP,2014-07-19,07:22
12920,Jacana spinosa,species,Northern Jacana,1,-88.82657976,15.76969508,North America,Guatemala,Guatemala,2014-07-19,10:17
12921,Sporophila morelleti,species,Morelet's Seedeater,1,-89.61258638,17.22463434,North America,Guatemala,Guatamala - Tikal NP,2014-07-20,15:44
12923,Psarocolius montezuma,species,Montezuma Oropendola,5,-89.61264047,17.22454458,North America,Guatemala,Guatamala - Tikal NP,2014-07-20,15:48
69029,Melanerpes santacruzi,species,Velasquez's Woodpecker,1,-90.5155903101,14.6134693734,North America,Guatemala,Guatemala - Guatemala,2014-02-26,
11592,Sporophila morelleti,species,Morelet's Seedeater,1,-89.6201133728,17.2225447003,North America,Guatemala,Guatamala - Tikal NP,2002-10-30,
11764,Momotus lessonii,species,Lesson's Motmot,1,-89.6201133728,17.2225447003,North America,Guatemala,Guatamala - Tikal NP,2002-10-30,
11886,Urocyon cinereoargenteus,species,Grey Fox,1,-89.635219574,17.2345956917,North America,Guatemala,Guatamala - Tikal NP,2002-10-30,
11887,Nasua narica,species,White-nosed Coati,1,-89.6252632141,17.221970824,North America,Guatemala,Guatamala - Tikal NP,2002-10-30,
111543,Coragyps atratus,species,Black Vulture,1,-89.6214866638,17.2226266825,North America,Guatemala,Guatamala - Tikal NP,2002-10-29,
111609,Aramides albiventris albiventris,subspecies,Rufous-naped Wood Rail ssp albiventris,1,-89.6214866638,17.2226266825,North America,Guatemala,Guatamala - Tikal NP,2002-10-29,
111625,Nasua narica,species,White-nosed Coati,1,-89.6214866638,17.2226266825,North America,Guatemala,Guatamala - Tikal NP,2002-10-29,
1466,Urocyon cinereoargenteus,species,Grey Fox,2,-89.6124529839,17.2252091028,North America,Guatemala,Guatamala - Tikal NP,2002-10-29,
40108,Melanerpes santacruzi,species,Velasquez's Woodpecker,1,-89.60325578302886,17.21496257825,North America,Guatemala,Guatamala - Tikal NP,2005-08-10,
40250,Campylopterus pampa,species,Wedge-tailed Sabrewing,1,-89.60325578302886,17.21496257825,North America,Guatemala,Guatamala - Tikal NP,2005-08-10,
4240,Momotus lessonii,species,Lesson's Motmot,1,-89.604862740752,17.21822567947,North America,Guatemala,Guatamala - Tikal NP,2005-07-15,
4256,Meleagris ocellata,species,Ocellated Turkey,18,-89.604862740752,17.21822567947,North America,Guatemala,Guatamala - Tikal NP,2005-07-15,
89565,Momotus lessonii,species,Lesson's Motmot,1,-89.6048627408,17.2182256795,North America,Guatemala,Guatamala - Tikal NP,2008-02-18,
58576,Nasua narica,species,White-nosed Coati,15,-89.6048627408,17.2182256795,North America,Guatemala,Guatamala - Tikal NP,2005-08-22,
58600,Urocyon cinereoargenteus,species,Grey Fox,3,-89.6048627408,17.2182256795,North America,Guatemala,Guatamala - Tikal NP,2005-08-22,
80944,Coragyps atratus,species,Black Vulture,1,-91.1310188419,14.7296875529,North America,Guatemala,Guatemala - Sololá,2011-12-28,
81430,Pteroglossus torquatus,species,Collared Aracari,1,-89.6480941773,17.2246161055,North America,Guatemala,Guatamala - Tikal NP,2012-01-05,
81431,Psarocolius montezuma,species,Montezuma Oropendola,2,-89.6480941773,17.2246161055,North America,Guatemala,Guatamala - Tikal NP,2012-01-05,
81432,Sporophila morelleti,species,Morelet's Seedeater,1,-89.6480941773,17.2246161055,North America,Guatemala,Guatamala - Tikal NP,2012-01-05,
81433,Meleagris ocellata,species,Ocellated Turkey,2,-89.6357345581,17.2016599199,North America,Guatemala,Guatamala - Tikal NP,2012-01-05,
81435,Pharomachrus mocinno,species,Resplendent Quetzal,2,-90.2196192741,15.2169449107,North America,Guatemala,Guatemala - Baja Verapaz,2011-12-29,
81436,Falco rufigularis,species,Bat Falcon,1,-89.8935699463,16.9285483147,North America,Guatemala,Guatamala - Flores,2011-12-29,
81437,Butorides virescens,species,Green Heron,1,-89.8891925812,16.9300263164,North America,Guatemala,Guatamala - Flores,2011-12-29,
81439,Setophaga ruticilla,species,American Redstart,1,-89.9095584621,15.5823143542,North America,Guatemala,Guatemala - Grutas de Lanquín NP,2011-12-29,
81442,Sayornis nigricans,species,Black Phoebe,1,-89.9095584621,15.5823143542,North America,Guatemala,Guatemala - Grutas de Lanquín NP,2011-12-29,
81444,Megaceryle alcyon,species,Belted Kingfisher,1,-89.9095584621,15.5823143542,North America,Guatemala,Guatemala - Grutas de Lanquín NP,2011-12-29,
81451,Saltator coerulescens,species,Greyish Saltator,1,-91.1996833927,14.7748402888,North America,Guatemala,Guatemala - Sololá,2011-12-29,
81456,Mniotilta varia,species,Black-and-white Warbler,1,-91.1996833927,14.7748402888,North America,Guatemala,Guatemala - Sololá,2011-12-29,
81458,Zonotrichia capensis,species,Rufous-collared Sparrow,1,-91.1584846622,14.7522650921,North America,Guatemala,Guatemala - Sololá,2011-12-29,
81463,Cardellina pusilla,species,Wilson's Warbler,1,-91.1584846622,14.7522650921,North America,Guatemala,Guatemala - Sololá,2011-12-29,
81465,Melanerpes santacruzi,species,Velasquez's Woodpecker,1,-91.1584846622,14.7522650921,North America,Guatemala,Guatemala - Sololá,2011-12-29,
81471,Melanerpes formicivorus,species,Acorn Woodpecker,2,-91.1626045353,14.7509370663,North America,Guatemala,Guatemala - Sololá,2011-12-29,
