,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
89070,Fregata magnificens,species,Magnificent Frigatebird,1,-77.7655049879,17.8834517578,North America,Jamaica,Jamaica - Saint Elizabeth,2014-08-23,10:36
89201,Cathartes aura,species,Turkey Vulture,1,-77.923706118,18.4810895226,North America,Jamaica,Jamaica - Saint James,2014-08-22,08:29
9798,Egretta caerulea,species,Little Blue Heron,1,-77.6438355446,18.4558371604,North America,Jamaica,Jamaica - Trelawny,2013-02-25,11:53
46110,Egretta thula,species,Snowy Egret,1,-77.9233270884,18.4750426856,North America,Jamaica,Jamaica - Saint James,2014-02-25,17:31
46116,Fregata magnificens,species,Magnificent Frigatebird,2,-77.8700315952,18.5207339749,North America,Jamaica,Jamaica,2014-02-25,15:22
46379,Nyctanassa violacea,species,Yellow-crowned Night Heron,1,-77.1675261855,18.4340798365,North America,Jamaica,Jamaica - Saint Ann,2014-02-23,19:30
46552,Trochilus polytmus,species,Red-billed Streamertail,2,-76.9534000754,18.3503275282,North America,Jamaica,Jamaica - Saint Mary,2014-02-23,09:45
46569,Anthracothorax mango,species,Jamaican Mango,1,-76.9534000754,18.3503275282,North America,Jamaica,Jamaica - Saint Mary,2014-02-23,08:45
46641,Columbina passerina jamaicensis,subspecies,Common Ground Dove ssp jamaicensis,2,-76.9536548853,18.3502791577,North America,Jamaica,Jamaica - Saint Mary,2014-02-23,07:08
46656,Setophaga ruticilla,species,American Redstart,1,-76.9536548853,18.3502791577,North America,Jamaica,Jamaica - Saint Mary,2014-02-23,06:56
46722,Tyrannus caudifasciatus,species,Loggerhead Kingbird,1,-76.9538506866,18.3501849624,North America,Jamaica,Jamaica - Saint Mary,2014-02-22,17:30
7152,Pardirallus maculatus,species,Spotted Rail,1,-77.71881457,18.09755144,North America,Jamaica,Jamaica - Saint Elizabeth,2014-03-15,18:23
7153,Tyto furcata,species,American Barn Owl,1,-77.71876109,18.09796559,North America,Jamaica,Jamaica - Saint Elizabeth,2014-03-15,18:26
19410,Geotrygon versicolor,species,Crested Quail-Dove,1,-77.44799121,18.37643341,North America,Jamaica,Jamaica - Trelawny,2014-03-15,08:31
20686,Geotrygon versicolor,species,Crested Quail-Dove,1,-77.4479174427688,18.3763941982761,North America,Jamaica,Jamaica - Trelawny,2014-03-15,08:31
20687,Porphyrio martinica,species,Purple Gallinule,1,-77.7200293075293,18.0894638411701,North America,Jamaica,Jamaica - Saint Elizabeth,2014-03-15,16:14
20688,Pardirallus maculatus,species,Spotted Rail,2,-77.7171954698861,18.0957926390693,North America,Jamaica,Jamaica - Saint Elizabeth,2014-03-15,17:52
20689,Tyto furcata,species,American Barn Owl,2,-77.7188442740589,18.0974135315046,North America,Jamaica,Jamaica - Saint Elizabeth,2014-03-15,18:12
