,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
12603,Corvus cornix,species,Hooded Crow,1,24.1083956882,56.9484617074,Europe,Latvia,Latvia - Riga,2015-02-15,
12621,Corvus cornix,species,Hooded Crow,10,24.1160704941,56.9491169709,Europe,Latvia,Latvia - Riga,2015-02-15,
12837,Corvus cornix,species,Hooded Crow,15,24.1165650263429,56.9491542730722,Europe,Latvia,Latvia - Riga,2015-02-14,14:53
110151,Corvus cornix,species,Hooded Crow,10,24.1129983589,56.9440670212,Europe,Latvia,Latvia - Riga,2015-02-02,
16975,Corvus cornix,species,Hooded Crow,1,24.1349938714286,56.9530939,Europe,Latvia,Latvia - Riga,2015-01-31,13:57
16976,Corvus cornix,species,Hooded Crow,1,24.1349938714286,56.9530939,Europe,Latvia,Latvia - Riga,2015-01-31,14:37
93257,Corvus cornix,species,Hooded Crow,1,23.7561106682,56.9239889238,Europe,Latvia,Latvia - Riga,2008-10-08,
18056,Coenonympha glycerion,species,Chestnut Heath,1,25.2,57.3,Europe,Latvia,Latvia - Gauja NP,2014-07-08,
18089,Polyommatus amandus,species,Amanda's Blue,1,25.2407314628,57.3122238624,Europe,Latvia,Latvia - Gauja NP,2014-07-08,
18103,Nymphalis xanthomelas,species,Yellow-legged Tortoiseshell,1,25.2327492088,57.3181682551,Europe,Latvia,Latvia - Gauja NP,2014-07-08,
18109,Coenonympha glycerion,species,Chestnut Heath,1,25.2,57.3,Europe,Latvia,Latvia - Gauja NP,2014-07-08,
18112,Maniola jurtina,species,Meadow Brown,1,25.2327492088,57.3181682551,Europe,Latvia,Latvia - Gauja NP,2014-07-08,
18113,Lycaena alciphron,species,Purple-shot Copper,1,25.2277924865,57.3171022749,Europe,Latvia,Latvia - Gauja NP,2014-07-08,
18114,Coenonympha arcania,species,Pearly Heath,1,25.2,57.3,Europe,Latvia,Latvia - Gauja NP,2014-07-08,
18118,Brenthis ino,species,Lesser Marbled Fritillary,5,25.2,57.3,Europe,Latvia,Latvia - Gauja NP,2014-07-08,
18292,Apatura ilia,species,Lesser Purple Emperor,1,25.2,57.3,Europe,Latvia,Latvia - Gauja NP,2014-07-08,
18294,Cyaniris semiargus,species,Mazarine Blue,1,25.2,57.3,Europe,Latvia,Latvia - Gauja NP,2014-07-08,
18297,Boloria selene,species,Small Pearl-bordered Fritillary,1,25.2,57.3,Europe,Latvia,Latvia - Gauja NP,2014-07-08,
18298,Cyaniris semiargus,species,Mazarine Blue,1,25.2,57.3,Europe,Latvia,Latvia - Gauja NP,2014-07-08,
18303,Argynnis laodice,species,Pallas's Fritillary,1,25.2417399734,57.3133247484,Europe,Latvia,Latvia - Gauja NP,2014-07-08,
18316,Aricia artaxerxes,species,Northern Brown Argus,1,25.2417399734,57.3133247484,Europe,Latvia,Latvia - Gauja NP,2014-07-08,
18327,Polyommatus amandus,species,Amanda's Blue,1,25.2407921478,57.3120500353,Europe,Latvia,Latvia - Gauja NP,2014-07-08,
10741,Phylloscopus sibilatrix,species,Wood Warbler,1,25.1919084816335,57.2810268846863,Europe,Latvia,Latvia - Gauja NP,2014-07-17,17:17
75302,Polyommatus amandus,species,Amanda's Blue,1,24.3732695282,57.5981278828,Europe,Latvia,Latvia - Limbaži,2014-07-05,
75303,Limenitis populi,species,Poplar Admiral,1,24.35,57.55,Europe,Latvia,Latvia - Limbaži,2014-07-05,
75304,Limenitis populi,species,Poplar Admiral,1,24.35,57.6,Europe,Latvia,Latvia - Limbaži,2014-07-05,
75305,Limenitis populi,species,Poplar Admiral,1,24.35,57.6,Europe,Latvia,Latvia - Limbaži,2014-07-05,
38606,Polyommatus amandus,species,Amanda's Blue,1,24.3897916004,57.038904745,Europe,Latvia,Latvia - Riga,2014-06-28,
38609,Brenthis ino,species,Lesser Marbled Fritillary,1,24.35,57.0,Europe,Latvia,Latvia - Riga,2014-06-28,
38610,Agriades optilete,species,Cranberry Blue,1,24.3897916004,57.038904745,Europe,Latvia,Latvia - Riga,2014-06-28,
38611,Speyeria aglaja,species,Dark Green Fritillary,1,24.3897916004,57.038904745,Europe,Latvia,Latvia - Riga,2014-06-28,
38615,Coenonympha pamphilus,species,Small Heath,1,24.3897916004,57.038904745,Europe,Latvia,Latvia - Riga,2014-06-28,
38629,Diacrisia sannio,species,Clouded Buff,1,24.5287659019,57.100619085,Europe,Latvia,Latvia - Riga,2014-06-28,
38633,Deltote bankiana,species,Silver Barred,1,24.5287659019,57.100619085,Europe,Latvia,Latvia - Riga,2014-06-28,
38645,Cyaniris semiargus,species,Mazarine Blue,1,24.5,57.1,Europe,Latvia,Latvia - Riga,2014-06-28,
38654,Boloria selene,species,Small Pearl-bordered Fritillary,1,24.5,57.05,Europe,Latvia,Latvia - Riga,2014-06-28,
38662,Cyaniris semiargus,species,Mazarine Blue,1,24.5,57.05,Europe,Latvia,Latvia - Riga,2014-06-28,
38674,Polypogon tentacularia,species,,1,24.5147754997,57.0975769883,Europe,Latvia,Latvia - Riga,2014-06-28,
38685,Polyommatus icarus,species,Common Blue,1,24.5147754997,57.0975769883,Europe,Latvia,Latvia - Riga,2014-06-28,
38687,Cyaniris semiargus,species,Mazarine Blue,1,24.5,57.05,Europe,Latvia,Latvia - Riga,2014-06-28,
38698,Brenthis ino,species,Lesser Marbled Fritillary,1,24.5,57.1,Europe,Latvia,Latvia - Riga,2014-06-28,
38702,Ochlodes sylvanus,species,Large Skipper,1,24.5286371559,57.10063074,Europe,Latvia,Latvia - Riga,2014-06-28,
38710,Aphantopus hyperantus,species,Ringlet,1,24.5286371559,57.10063074,Europe,Latvia,Latvia - Riga,2014-06-28,
38714,Aporia crataegi,species,Black-veined White,1,24.5286371559,57.10063074,Europe,Latvia,Latvia - Riga,2014-06-28,
38716,Thymelicus sylvestris,species,Small Skipper,1,24.5286371559,57.10063074,Europe,Latvia,Latvia - Riga,2014-06-28,
38752,Coenonympha glycerion,species,Chestnut Heath,1,24.5,57.1,Europe,Latvia,Latvia - Riga,2014-06-28,
38761,Lycaena virgaureae,species,Scarce Copper,1,24.5,57.05,Europe,Latvia,Latvia - Riga,2014-06-28,
38781,Coenonympha arcania,species,Pearly Heath,1,24.5,57.05,Europe,Latvia,Latvia - Riga,2014-06-28,
79554,Ceratomegilla notata,species,,1,25.6980588287,57.082440559,Europe,Latvia,Latvia - Cesis,2014-05-10,
81053,Phylloscopus sibilatrix,species,Wood Warbler,1,25.1848992705,57.2641931743,Europe,Latvia,Latvia - Gauja NP,2014-04-29,
81153,Thecla betulae,species,Brown Hairstreak,3,25.6976799667,57.0825921488,Europe,Latvia,Latvia - Cesis,2014-04-25,
117504,Grus grus,species,Common Crane,1,23.3967664566294,56.8516406877232,Europe,Latvia,Latvia - Kemeru NP,2014-05-18,10:41
29911,Sterna hirundo,species,Common Tern,10,21.5245342769192,57.4062608136849,Europe,Latvia,Latvia - Ventspils,2014-05-07,19:11
29912,Grus grus,species,Common Crane,1,22.4821165321391,57.6807224668837,Europe,Latvia,Latvia - Slitere NP,2014-05-08,20:21
29913,Lyrurus tetrix,species,Black Grouse,1,22.45,57.65,Europe,Latvia,Latvia - Slitere NP,2014-05-08,20:21
29914,Lyrurus tetrix,species,Black Grouse,10,22.45,57.65,Europe,Latvia,Latvia - Slitere NP,2014-05-09,05:30
29916,Motacilla alba,species,White Wagtail,1,22.4877047478722,57.699897294302,Europe,Latvia,Latvia - Slitere NP,2014-05-09,06:00
29917,Clangula hyemalis,species,Long-tailed Duck,8,22.6012814093012,57.7531902598107,Europe,Latvia,Latvia - Slitere NP,2014-05-09,10:56
29918,Clangula hyemalis,species,Long-tailed Duck,12,22.5968373642353,57.7474180273273,Europe,Latvia,Latvia - Slitere NP,2014-05-10,07:16
29919,Motacilla alba,species,White Wagtail,3,22.6028244392497,57.7552996291941,Europe,Latvia,Latvia - Slitere NP,2014-05-10,07:38
29920,Corvus cornix,species,Hooded Crow,1,22.604373824455,57.7584665695916,Europe,Latvia,Latvia - Slitere NP,2014-05-10,07:49
29921,Clangula hyemalis,species,Long-tailed Duck,1,22.6031110452442,57.7584283500952,Europe,Latvia,Latvia - Slitere NP,2014-05-10,08:29
29922,Corvus corax,species,Northern Raven,1,22.5944863271971,57.7551304740169,Europe,Latvia,Latvia - Slitere NP,2014-05-10,10:25
29923,Corvus cornix,species,Hooded Crow,3,22.5947662024066,57.7482510842054,Europe,Latvia,Latvia - Slitere NP,2014-05-10,11:26
29924,Grus grus,species,Common Crane,2,22.5305697591896,57.7376079223053,Europe,Latvia,Latvia - Slitere NP,2014-05-10,11:48
29925,Motacilla alba,species,White Wagtail,6,22.5952733626892,57.7488198846203,Europe,Latvia,Latvia - Slitere NP,2014-05-10,16:52
29926,Calidris alpina,species,Dunlin,1,22.6032187618734,57.7586349178535,Europe,Latvia,Latvia - Slitere NP,2014-05-11,07:40
29928,Calidris alpina,species,Dunlin,6,22.6047065352333,57.7588958635585,Europe,Latvia,Latvia - Slitere NP,2014-05-11,07:53
29947,Grus grus,species,Common Crane,2,22.5722187471708,57.6256291424891,Europe,Latvia,Latvia - Talsi,2014-05-11,15:57
29950,Ciconia ciconia,species,White Stork,8,22.4641154124226,57.6068591933925,Europe,Latvia,Latvia - Talsi,2014-05-11,17:04
29953,Ciconia ciconia,species,White Stork,1,22.4602191867403,57.6080498643549,Europe,Latvia,Latvia - Talsi,2014-05-11,17:12
29955,Grus grus,species,Common Crane,2,22.4271748687153,57.6157140874311,Europe,Latvia,Latvia - Talsi,2014-05-11,17:18
30048,Ardea alba,species,Great Egret,1,26.9064310276308,56.8166607763199,Europe,Latvia,Latvia - Madona,2014-05-14,10:38
30053,Pandion haliaetus,species,Western Osprey,1,26.9634239144479,56.7669319123367,Europe,Latvia,Latvia - Rezekne,2014-05-14,11:41
30054,Podiceps grisegena,species,Red-necked Grebe,1,26.9135769191372,56.6904325144525,Europe,Latvia,Latvia - Rezekne,2014-05-14,12:45
30055,Cygnus cygnus,species,Whooper Swan,1,26.9128260618518,56.6907104656665,Europe,Latvia,Latvia - Rezekne,2014-05-14,12:47
30058,Clanga pomarina,species,Lesser Spotted Eagle,1,26.7337740822818,56.8263286662441,Europe,Latvia,Latvia - Madona,2014-05-14,18:40
30076,Cygnus cygnus,species,Whooper Swan,2,26.9122922980852,56.6909426589982,Europe,Latvia,Latvia - Rezekne,2014-05-15,09:33
30079,Carpodacus erythrinus,species,Common Rosefinch,1,26.9057446427647,56.6937777612757,Europe,Latvia,Latvia - Rezekne,2014-05-15,09:57
30084,Carpodacus erythrinus,species,Common Rosefinch,1,26.8939659610452,56.6980730580049,Europe,Latvia,Latvia - Rezekne,2014-05-15,11:11
30088,Remiz pendulinus,species,Eurasian Penduline Tit,1,26.85,56.7,Europe,Latvia,Latvia - Rezekne,2014-05-15,12:02
30090,Motacilla citreola,species,Citrine Wagtail,1,26.8896613965779,56.705916080059,Europe,Latvia,Latvia - Rezekne,2014-05-15,12:26
30093,Podiceps grisegena,species,Red-necked Grebe,1,26.9091303992533,56.6923033942729,Europe,Latvia,Latvia - Rezekne,2014-05-15,13:26
30095,Motacilla citreola,species,Citrine Wagtail,1,26.8925906636646,56.6932689359924,Europe,Latvia,Latvia - Rezekne,2014-05-15,17:34
30097,Motacilla citreola,species,Citrine Wagtail,1,26.8972778794355,56.6923486600068,Europe,Latvia,Latvia - Rezekne,2014-05-15,18:04
30098,Motacilla citreola,species,Citrine Wagtail,1,26.8972871108519,56.6923570705967,Europe,Latvia,Latvia - Rezekne,2014-05-15,18:04
30099,Chlidonias leucopterus,species,White-winged Tern,2,26.9000049739344,56.6941335280849,Europe,Latvia,Latvia - Rezekne,2014-05-15,18:12
30105,Clanga pomarina,species,Lesser Spotted Eagle,2,26.6678847739428,56.8693634380954,Europe,Latvia,Latvia - Madona,2014-05-16,08:45
30108,Coracias garrulus,species,European Roller,1,24.4533079286566,57.0637420667116,Europe,Latvia,Latvia - Riga,2014-05-16,15:24
114154,Nymphalis antiopa,species,Camberwell Beauty,1,25.2413181961,57.3106709777,Europe,Latvia,Latvia - Gauja NP,2014-04-20,
69231,Ciconia ciconia,species,White Stork,1,26.3938453048,57.5234510887,Europe,Latvia,Latvia - Aluksne,2014-03-30,
30974,Nymphalis antiopa,species,Camberwell Beauty,1,25.2448727936,57.3155148341,Europe,Latvia,Latvia - Gauja NP,2014-03-27,16:30
30975,Nymphalis xanthomelas,species,Yellow-legged Tortoiseshell,1,25.2448727936,57.3155148341,Europe,Latvia,Latvia - Gauja NP,2014-03-27,16:30
30980,Nymphalis antiopa,species,Camberwell Beauty,1,25.2320484817,57.321725161,Europe,Latvia,Latvia - Gauja NP,2014-03-27,16:30
30983,Nymphalis xanthomelas,species,Yellow-legged Tortoiseshell,5,25.2320484817,57.321725161,Europe,Latvia,Latvia - Gauja NP,2014-03-27,16:30
