,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
72425,Anthus hoeschi,species,Mountain Pipit,1,29.2630076408,-29.5740635942,Africa,Lesotho,Lesotho,2015-02-11,
72433,Prinia maculosa,species,Karoo Prinia,1,29.2582011223,-29.5692859751,Africa,Lesotho,Lesotho,2015-02-11,
72529,Monticola explorator,species,Sentinel Rock Thrush,1,29.2735433578,-29.5770588221,Africa,Lesotho,Lesotho,2015-02-11,
72617,Geronticus calvus,species,Southern Bald Ibis,1,29.2712420225,-29.5755495556,Africa,Lesotho,Lesotho,2015-02-11,
47808,Nectarinia famosa,species,Malachite Sunbird,1,29.2885458474,-29.5846836555,Africa,Lesotho,Lesotho,2014-12-20,
47837,Crithagra symonsi,species,Drakensberg Siskin,3,29.2884600167,-29.5845374839,Africa,Lesotho,Lesotho,2014-12-20,
48047,Chaetops aurantius,species,Drakensberg Rockjumper,2,29.2887818818,-29.5849480074,Africa,Lesotho,Lesotho,2014-12-20,
64081,Anthus hoeschi,species,Mountain Pipit,1,29.2720556329,-29.5721706092,Africa,Lesotho,Lesotho,2014-12-20,
64086,Gypaetus barbatus,species,Bearded Vulture,1,29.1826200555,-29.5025355645,Africa,Lesotho,Lesotho,2014-12-20,
64094,Geocolaptes olivaceus,species,Ground Woodpecker,4,29.2120742938,-29.5378830492,Africa,Lesotho,Lesotho,2014-12-20,
64097,Emarginata sinuata,species,Sickle-winged Chat,2,29.2120742938,-29.5378830492,Africa,Lesotho,Lesotho,2014-12-20,
64107,Geronticus calvus,species,Southern Bald Ibis,12,29.2781066964,-29.5791128142,Africa,Lesotho,Lesotho,2014-12-20,
64112,Crithagra symonsi,species,Drakensberg Siskin,4,29.288395645,-29.5844255215,Africa,Lesotho,Lesotho,2014-12-20,
64122,Chaetops aurantius,species,Drakensberg Rockjumper,2,29.2884922045,-29.5849293462,Africa,Lesotho,Lesotho,2014-12-20,
74370,Monticola explorator,species,Sentinel Rock Thrush,1,29.2492961884,-29.4922436893,Africa,Lesotho,Lesotho,2009-09-30,
58283,Geronticus calvus,species,Southern Bald Ibis,1,29.2502993345,-29.5628586944,Africa,Lesotho,Lesotho,2014-11-10,
58498,Crithagra symonsi,species,Drakensberg Siskin,25,29.2863535881,-29.5824238836,Africa,Lesotho,Lesotho,2014-11-10,
58500,Crithagra flaviventris guillarmodi,subspecies,Yellow Canary ssp guillarmodi,2,29.2568278313,-29.5734664041,Africa,Lesotho,Lesotho,2014-11-10,
58506,Anthus hoeschi,species,Mountain Pipit,4,29.2527079582,-29.5668970808,Africa,Lesotho,Lesotho,2014-11-10,
72115,Helichrysum confertum,species,,1,29.2406702,-29.57633102,Africa,Lesotho,Lesotho,2014-10-28,
72116,Emberiza capensis,species,Cape Bunting,2,29.2406702042,-29.5763310179,Africa,Lesotho,Lesotho,2014-10-28,
72123,Crithagra flaviventris guillarmodi,subspecies,Yellow Canary ssp guillarmodi,5,29.2406702042,-29.5763310179,Africa,Lesotho,Lesotho,2014-10-28,
72147,Passer melanurus,species,Cape Sparrow,3,29.2841863632,-29.5824891956,Africa,Lesotho,Lesotho,2014-10-28,
72171,Anthus hoeschi,species,Mountain Pipit,2,29.2599391937,-29.5741662358,Africa,Lesotho,Lesotho,2014-10-28,
72307,Emarginata sinuata,species,Sickle-winged Chat,4,29.2700242996,-29.5719267573,Africa,Lesotho,Lesotho,2014-10-28,
72343,Monticola explorator,species,Sentinel Rock Thrush,5,29.2700242996,-29.5719267573,Africa,Lesotho,Lesotho,2014-10-28,
