,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
1801,Thalasseus sandvicensis,species,Sandwich Tern,3,7.48910039663,43.749706223,Europe,Monaco,Monaco,2015-03-04,
1804,Phalacrocorax carbo,species,Great Cormorant,3,7.48910039663,43.749706223,Europe,Monaco,Monaco,2015-03-04,
1809,Phalacrocorax aristotelis desmarestii,subspecies,European Shag ssp desmarestii,2,7.48910039663,43.749706223,Europe,Monaco,Monaco,2015-03-04,
1814,Burhinus oedicnemus,species,Eurasian Stone-curlew,1,7.48704046011,43.7493342141,Europe,Monaco,Monaco,2015-03-04,
40956,Corvus cornix,species,Hooded Crow,1,7.48655498028,43.7499532589,Europe,Monaco,Monaco,2015-02-27,
40959,Phalacrocorax aristotelis desmarestii,subspecies,European Shag ssp desmarestii,3,7.48689830303,43.7479071895,Europe,Monaco,Monaco,2015-02-27,
34401,Larus michahellis,species,Yellow-legged Gull,3,7.42488026619,43.7371816189,Europe,Monaco,Monaco,2014-09-25,10:30
101002,Falco tinnunculus,species,Common Kestrel,1,7.42681984,43.73765721,Europe,Monaco,Monaco,2014-08-19,14:14
101003,Larus michahellis,species,Yellow-legged Gull,50,7.42691239,43.73768771,Europe,Monaco,Monaco,2014-08-19,14:14
45182,Larus michahellis,species,Yellow-legged Gull,6,7.42756003274458,43.7313664506048,Europe,Monaco,Monaco,2014-04-14,09:38
11148,Larus michahellis,species,Yellow-legged Gull,5,7.43465423584,43.7468550641,Europe,Monaco,Monaco,2013-09-25,
37569,Larus michahellis,species,Yellow-legged Gull,1,7.422265,43.735198,Europe,Monaco,Monaco,2013-07-23,12:49
94770,Chromis chromis,species,Damselfish,10,7.4221622942787,43.735560698934,Europe,Monaco,Monaco,2013-07-09,
94771,Ischnura elegans,species,Common Bluetail,6,7.4309492110115,43.74241177763,Europe,Monaco,Monaco,2013-07-09,
94772,Orthetrum cancellatum,species,Black-tailed Skimmer,2,7.4309492110115,43.74241177763,Europe,Monaco,Monaco,2013-07-09,
94777,Sylvia atricapilla,species,Eurasian Blackcap,1,7.4272871008725,43.731986664418,Europe,Monaco,Monaco,2013-07-09,
94779,Larus michahellis,species,Yellow-legged Gull,55,7.4223518362851,43.737847234875,Europe,Monaco,Monaco,2013-07-09,
94781,Passer italiae,species,Italian Sparrow,2,7.4223518362851,43.737847234875,Europe,Monaco,Monaco,2013-07-09,
46424,Larus michahellis,species,Yellow-legged Gull,63,7.4333810797543,43.745329739595,Europe,Monaco,Monaco,2013-07-01,
22271,Iphiclides podalirius,species,Scarce Swallowtail,1,7.4,43.7,Europe,Monaco,Monaco,2012-07-26,
46242,Larus michahellis,species,Yellow-legged Gull,10,7.44259828301,43.746198578,Europe,Monaco,Monaco,2012-07-23,
46245,Corvus cornix,species,Hooded Crow,1,7.44259828301,43.746198578,Europe,Monaco,Monaco,2012-07-23,
115780,Sylvia atricapilla,species,Eurasian Blackcap,1,7.42641448975,43.7424526002,Europe,Monaco,Monaco,2012-06-15,
78502,Larus michahellis,species,Yellow-legged Gull,1,7.42363572121,43.7328172054,Europe,Monaco,Monaco,2009-07-16,
78515,Phalacrocorax aristotelis,species,European Shag,1,7.43185400963,43.7420340392,Europe,Monaco,Monaco,2009-07-16,
78521,Streptopelia decaocto,species,Eurasian Collared Dove,1,7.43098497391,43.7424758534,Europe,Monaco,Monaco,2009-07-16,
78529,Ischnura elegans,species,Common Bluetail,1,7.43098497391,43.7424758534,Europe,Monaco,Monaco,2009-07-16,
78540,Chroicocephalus ridibundus,species,Black-headed Gull,1,7.46804237366,43.7569919011,Europe,Monaco,Monaco,2009-07-16,
78546,Hyles livornica,species,Striped Hawk-moth,1,7.47084259987,43.7574413541,Europe,Monaco,Monaco,2009-07-14,
78554,Phalacrocorax aristotelis,species,European Shag,2,7.47456550598,43.7511952045,Europe,Monaco,Monaco,2009-07-14,
104338,Larus michahellis,species,Yellow-legged Gull,1,7.4267873,43.731014,Europe,Monaco,Monaco,2012-06-16,15:42
92295,Apus pallidus,species,Pallid Swift,5,7.42415237426758,43.7297096252441,Europe,Monaco,Monaco,2019-08-15,16:17
64922,Apus pallidus,species,Pallid Swift,2,7.423664319606521,43.737189570674765,Europe,Monaco,Monaco,2019-09-21,14:23
64923,Macroglossum stellatarum,species,Humming-bird Hawk Moth,1,7.4237564369008116,43.73724704927878,Europe,Monaco,Monaco,2019-09-21,14:11
64924,Streptopelia decaocto,species,Eurasian Collared Dove,1,7.423981149968667,43.737170049265984,Europe,Monaco,Monaco,2019-09-21,14:10
10244,Apus pallidus,species,Pallid Swift,10,7.42059278488159,43.7383155822754,Europe,Monaco,Monaco,2019-08-15,14:09
10245,Sympetrum fonscolombii,species,Red-veined Darter,1,7.42146348953247,43.7357025146484,Europe,Monaco,Monaco,2019-08-15,14:19
10246,Anax ephippiger,species,Vagrant Emperor,2,7.42146348953247,43.7357025146484,Europe,Monaco,Monaco,2019-08-15,14:19
10247,Sympetrum fonscolombii,species,Red-veined Darter,3,7.41879272460938,43.7328262329102,Europe,Monaco,Monaco,2019-08-15,14:56
10248,Cacyreus marshalli,species,Geranium Bronze,5,7.41879272460938,43.7328262329102,Europe,Monaco,Monaco,2019-08-15,14:57
10249,Sympetrum fonscolombii,species,Red-veined Darter,6,7.4202561378479,43.7306022644043,Europe,Monaco,Monaco,2019-08-15,15:21
10251,Macroglossum stellatarum,species,Humming-bird Hawk Moth,1,7.42194509506226,43.7298889160156,Europe,Monaco,Monaco,2019-08-15,16:28
10252,Macroglossum stellatarum,species,Humming-bird Hawk Moth,1,7.42557811737061,43.7306442260742,Europe,Monaco,Monaco,2019-08-15,18:56
10253,Apis mellifera,species,Western Honey Bee,2,7.42557811737061,43.7306442260742,Europe,Monaco,Monaco,2019-08-15,18:57
117809,Streptopelia decaocto,species,Eurasian Collared Dove,1,7.429900523964232,43.74058281342496,Europe,Monaco,Monaco,2019-08-05,14:39
117810,Apus pallidus,species,Pallid Swift,50,7.428916406373141,43.74118797144469,Europe,Monaco,Monaco,2019-08-05,14:17
118579,Streptopelia decaocto,species,Eurasian Collared Dove,1,7.429900523964232,43.74058281342496,Europe,Monaco,Monaco,2019-08-05,14:39
10464,Apus pallidus,species,Pallid Swift,50,7.428916406373141,43.74118797144469,Europe,Monaco,Monaco,2019-08-05,14:17
52855,Streptopelia decaocto,species,Eurasian Collared Dove,1,7.42982156575418,43.738708351779486,Europe,Monaco,Monaco,2019-08-02,13:30
90702,Streptopelia decaocto,species,Eurasian Collared Dove,2,7.429688779908327,43.73876336827697,Europe,Monaco,Monaco,2019-07-10,17:20
2820,Larus michahellis,species,Yellow-legged Gull,1,7.42267465591431,43.7325553894043,Europe,Monaco,Monaco,2019-06-01,13:34
88612,Apus pallidus,species,Pallid Swift,40,7.42159509658814,43.7353057861328,Europe,Monaco,Monaco,2018-08-16,12:47
88613,Tachymarptis melba,species,Alpine Swift,2,7.42161226272583,43.7351837158203,Europe,Monaco,Monaco,2018-08-16,12:47
88614,Larus michahellis,species,Yellow-legged Gull,5,7.42162704467773,43.7350921630859,Europe,Monaco,Monaco,2018-08-16,12:47
88615,Streptopelia decaocto,species,Eurasian Collared Dove,3,7.41989612579346,43.7322006225586,Europe,Monaco,Monaco,2018-08-16,13:11
94067,Larus michahellis,species,Yellow-legged Gull,5,7.42176847578175,43.7271483201852,Europe,Monaco,Monaco,2018-08-06,16:44
94068,Larus michahellis,species,Yellow-legged Gull,1,7.42088943475145,43.7307805622729,Europe,Monaco,Monaco,2018-08-06,13:41
94069,Ptyonoprogne rupestris,species,Eurasian Crag Martin,6,7.42225978698757,43.7298622341866,Europe,Monaco,Monaco,2018-08-06,12:53
108602,Tachymarptis melba,species,Alpine Swift,4,7.42379749193788,43.7318761367351,Europe,Monaco,Monaco,2018-08-05,15:22
108603,Apus pallidus,species,Pallid Swift,12,7.42637836374342,43.7317488994449,Europe,Monaco,Monaco,2018-08-05,15:22
63652,Sylvia melanocephala,species,Sardinian Warbler,1,7.421004557989,43.7301701680233,Europe,Monaco,Monaco,2018-05-17,13:53
3177,Larus michahellis,species,Yellow-legged Gull,1,7.4240884,43.72969248,Europe,Monaco,Monaco,2018-04-14,15:44
3178,Sylvia melanocephala,species,Sardinian Warbler,1,7.42384095,43.72975571,Europe,Monaco,Monaco,2018-04-14,15:45
23761,Ptyonoprogne rupestris,species,Eurasian Crag Martin,1,7.43,43.7389,Europe,Monaco,Monaco,2018-02-11,15:30
106460,Apis mellifera,species,Western Honey Bee,1,7.42416667938232,43.7294425964355,Europe,Monaco,Monaco,2017-11-19,13:38
59642,Larus michahellis,species,Yellow-legged Gull,4,7.42352848,43.72973849,Europe,Monaco,Monaco,2017-08-13,10:32
59643,Sylvia melanocephala,species,Sardinian Warbler,2,7.4278873577714,43.732132087628,Europe,Monaco,Monaco,2017-08-13,10:56
59644,Apus pallidus,species,Pallid Swift,15,7.42747530341148,43.73895723566,Europe,Monaco,Monaco,2017-08-13,12:31
