,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
28766,Eresia clio,species,Clio Crescent,1,-84.7749094393,11.1336840006,North America,Nicaragua,Nicaragua,2010-02-09,
48917,Calocitta formosa,species,White-throated Magpie-Jay,1,-85.8792980275,11.2636381,North America,Nicaragua,Nicaragua,2015-01-09,16:39
48924,Fregata magnificens,species,Magnificent Frigatebird,1,-85.880095,11.262493,North America,Nicaragua,Nicaragua,2015-01-09,16:37
48989,Cathartes aura,species,Turkey Vulture,20,-85.83588928,11.20431004,North America,Nicaragua,Nicaragua,2015-01-08,13:03
49044,Leptotes cassius,species,,1,-86.05401903,11.93353211,North America,Nicaragua,Nicaragua,2015-01-05,07:35
49051,Eumomota superciliosa,species,Turquoise-browed Motmot,5,-86.054019034,11.9335321092,North America,Nicaragua,Nicaragua,2015-01-04,07:38
49057,Melanerpes santacruzi santacruzi,subspecies,Velasquez's Woodpecker ssp santacruzi,1,-86.054019034,11.9335321092,North America,Nicaragua,Nicaragua,2015-01-04,07:36
49061,Campylorhynchus capistratus,species,Rufous-backed Wren,1,-86.05401903,11.93353211,North America,Nicaragua,Nicaragua,2015-01-04,07:35
49071,Actitis macularius,species,Spotted Sandpiper,1,-86.054019034,11.9335321092,North America,Nicaragua,Nicaragua,2015-01-03,15:51
49077,Fregata magnificens,species,Magnificent Frigatebird,1,-86.054019034,11.9335321092,North America,Nicaragua,Nicaragua,2015-01-03,14:37
49093,Pandion haliaetus,species,Western Osprey,4,-86.054019034,11.9335321092,North America,Nicaragua,Nicaragua,2015-01-03,07:36
49100,Ardea alba egretta,subspecies,American Great Egret,1,-86.054019034,11.9335321092,North America,Nicaragua,Nicaragua,2015-01-03,07:45
66143,Calocitta formosa,species,White-throated Magpie-Jay,1,-85.5285644531,11.4800246486,North America,Nicaragua,Nicaragua,2013-08-10,
35230,Megaceryle torquata,species,Ringed Kingfisher,2,-86.0540380556,11.9334881,North America,Nicaragua,Nicaragua,2015-01-03,06:44
43475,Ctenosaura similis,species,Black Iguana,1,-86.2543665245,11.9784339794,North America,Nicaragua,Nicaragua,2014-03-06,14:23
43487,Coragyps atratus,species,Black Vulture,1,-86.2684960663,11.9755997621,North America,Nicaragua,Nicaragua,2014-03-06,11:07
43512,Argemone mexicana,species,Mexican Poppy,1,-86.2527320534,11.9780349966,North America,Nicaragua,Nicaragua,2014-03-06,
43518,Alouatta palliata,species,Mantled Howler Monkey,5,-86.2641187012,11.9777827828,North America,Nicaragua,Nicaragua,2014-03-06,10:25
122787,Cairina moschata,species,Muscovy Duck,1,-85.6360745432,11.4791779039,North America,Nicaragua,Nicaragua,2014-10-19,17:07
122796,Chaetura pelagica,species,Chimney Swift,1,-85.6357741358,11.4796195011,North America,Nicaragua,Nicaragua,2014-10-19,16:22
122879,Sciurus variegatoides dorsalis,subspecies,Variegated Squirrel ssp dorsalis,1,-85.55411339,11.5105394,North America,Nicaragua,Nicaragua,2014-10-19,14:14
20649,Egretta tricolor,species,Tricolored Heron,1,-87.010724545,12.3537063834,North America,Nicaragua,Nicaragua,2014-10-23,10:40
52703,Fregata magnificens,species,Magnificent Frigatebird,18,-87.017223988206,12.3595089588613,North America,Nicaragua,Nicaragua,2014-10-23,09:41
52704,Coragyps atratus,species,Black Vulture,80,-87.017223988206,12.3595089588613,North America,Nicaragua,Nicaragua,2014-10-23,09:41
52705,Egretta thula,species,Snowy Egret,50,-87.017223988206,12.3595089588613,North America,Nicaragua,Nicaragua,2014-10-23,09:42
52706,Numenius hudsonicus hudsonicus,subspecies,Hudsonian Whimbrel ssp hudsonicus,10,-87.0131946903,12.3549060125,North America,Nicaragua,Nicaragua,2014-10-23,10:36
52707,Procyon lotor,species,Northern Raccoon,1,-86.9942048914,12.3453236832,North America,Nicaragua,Nicaragua,2014-10-23,11:10
52708,Pelecanus occidentalis,species,Brown Pelican,6,-87.0188943804844,12.3597136954412,North America,Nicaragua,Nicaragua,2014-10-23,13:50
52709,Calidris alba,species,Sanderling,100,-87.0188943804844,12.3597136954412,North America,Nicaragua,Nicaragua,2014-10-23,13:51
52710,Charadrius semipalmatus,species,Semipalmated Plover,1,-87.0189024063778,12.3598963030805,North America,Nicaragua,Nicaragua,2014-10-23,13:52
52711,Butorides virescens,species,Green Heron,4,-87.0189226918908,12.3598457709621,North America,Nicaragua,Nicaragua,2014-10-23,13:53
52712,Nycticorax nycticorax,species,Black-crowned Night Heron,2,-87.0189226918908,12.3598457709621,North America,Nicaragua,Nicaragua,2014-10-23,13:53
65016,Pandion haliaetus,species,Western Osprey,1,-85.9511674295127,11.9299663377323,North America,Nicaragua,Nicaragua,2014-10-20,15:02
65017,Pandion haliaetus,species,Western Osprey,1,-85.9171275645905,11.9176344631403,North America,Nicaragua,Nicaragua,2014-10-21,10:09
65018,Pandion haliaetus,species,Western Osprey,2,-85.9095681175246,11.9140994469643,North America,Nicaragua,Nicaragua,2014-10-21,10:22
65019,Megaceryle torquata,species,Ringed Kingfisher,1,-85.909274551,11.9138118495,North America,Nicaragua,Nicaragua,2014-10-21,10:22
65020,Ctenosaura similis,species,Black Iguana,1,-85.8945317621762,11.9018436878843,North America,Nicaragua,Nicaragua,2014-10-21,11:23
75877,Alouatta palliata,species,Mantled Howler Monkey,15,-85.6352239810383,11.4799509666987,North America,Nicaragua,Nicaragua,2014-10-19,10:38
75878,Caracara cheriway,species,Northern Crested Caracara,1,-85.5540467219826,11.5108959559535,North America,Nicaragua,Nicaragua,2014-10-19,14:14
75879,Bubulcus ibis,species,Western Cattle Egret,100,-85.6362549962,11.4787726434,North America,Nicaragua,Nicaragua,2014-10-19,17:04
80528,Calocitta formosa,species,White-throated Magpie-Jay,1,-85.6350201363405,11.4793661164462,North America,Nicaragua,Nicaragua,2014-10-19,08:48
110503,Pelecanus occidentalis,species,Brown Pelican,6,-87.0233184098,12.3585117841,North America,Nicaragua,Nicaragua,2014-03-20,06:29
110509,Passer domesticus,species,House Sparrow,1,-87.0222777127,12.3596803262,North America,Nicaragua,Nicaragua,2014-03-20,07:56
110643,Egretta thula,species,Snowy Egret,25,-87.0186567302,12.3573626252,North America,Nicaragua,Nicaragua,2014-03-20,06:35
110662,Coragyps atratus,species,Black Vulture,15,-87.0186567302,12.3573626252,North America,Nicaragua,Nicaragua,2014-03-20,06:34
110667,Charadrius semipalmatus,species,Semipalmated Plover,2,-87.0231413837,12.3589346608,North America,Nicaragua,Nicaragua,2014-03-20,06:39
110705,Tringa flavipes,species,Lesser Yellowlegs,1,-87.0101487639,12.3530656799,North America,Nicaragua,Nicaragua,2014-03-19,10:48
