,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
17857,Ardea cinerea cinerea,subspecies,Grey Heron ssp cinerea,1,7.5088,9.0783,Africa,Nigeria,Nigeria - Bwari,2015-02-07,16:14
110693,Phalacrocorax lucidus,species,White-breasted Cormorant,1,6.748,7.8102,Africa,Nigeria,Nigeria - Lokoja,2014-11-24,09:35
75548,Pycnonotus barbatus,species,Common Bulbul,2,7.5118,9.0776,Africa,Nigeria,Nigeria - Bwari,2014-11-22,17:19
1079,Tetrathemis polleni,species,Black-splashed Elf,1,7.49838352203,9.06989032451,Africa,Nigeria,Nigeria - Abuja Municipal,2014-02-18,
1476,Falco alopex,species,Fox Kestrel,6,7.50250339508,9.06959367304,Africa,Nigeria,Nigeria - Bwari,2014-02-18,
2665,Palpopleura portia,species,Portia Widow,1,7.49868392944,9.07090741341,Africa,Nigeria,Nigeria - Abuja Municipal,2014-02-18,
2717,Trithemis annulata,species,Violet Dropwing,1,7.49868392944,9.07090741341,Africa,Nigeria,Nigeria - Abuja Municipal,2014-02-18,
2774,Tetrathemis polleni,species,Black-splashed Elf,5,7.49915599823,9.0707378988,Africa,Nigeria,Nigeria - Abuja Municipal,2014-02-18,
15846,Trithemis arteriosa,species,Red-veined Dropwing,1,7.49834060669,9.07107692795,Africa,Nigeria,Nigeria - Abuja Municipal,2014-02-18,
15851,Ceriagrion glabrum,species,Common Orange,1,7.49834060669,9.07107692795,Africa,Nigeria,Nigeria - Abuja Municipal,2014-02-18,
15853,Halcyon leucocephala,species,Grey-headed Kingfisher,1,7.49834060669,9.07107692795,Africa,Nigeria,Nigeria - Abuja Municipal,2014-02-18,
23267,Aviceda cuculoides,species,African Cuckoo-Hawk,1,7.49937057495,9.07192449944,Africa,Nigeria,Nigeria - Abuja Municipal,2014-02-17,
23279,Corvus albus,species,Pied Crow,5,7.49937057495,9.07192449944,Africa,Nigeria,Nigeria - Abuja Municipal,2014-02-17,
23285,Milvus aegyptius,species,Yellow-billed Kite,10,7.49937057495,9.07192449944,Africa,Nigeria,Nigeria - Abuja Municipal,2014-02-17,
23286,Corvinella corvina,species,Yellow-billed Shrike,1,7.49937057495,9.07192449944,Africa,Nigeria,Nigeria - Abuja Municipal,2014-02-17,
102707,Falco tinnunculus,species,Common Kestrel,1,3.89207839966,7.49523881073,Africa,Nigeria,Nigeria - Ibadan - IITA Ibadan Campus,2012-11-11,
102708,Falco ardosiaceus,species,Grey Kestrel,2,3.89207839966,7.49523881073,Africa,Nigeria,Nigeria - Ibadan - IITA Ibadan Campus,2012-11-11,
102714,Dendrocygna viduata,species,White-faced Whistling Duck,1,3.89207839966,7.49523881073,Africa,Nigeria,Nigeria - Ibadan - IITA Ibadan Campus,2012-11-11,
102717,Macheiramphus alcinus,species,Bat Hawk,2,3.89207839966,7.49523881073,Africa,Nigeria,Nigeria - Ibadan - IITA Ibadan Campus,2012-11-11,
102734,Malimbus rubricollis,species,Red-headed Malimbe,1,3.89207839966,7.49523881073,Africa,Nigeria,Nigeria - Ibadan - IITA Ibadan Campus,2012-11-11,
102778,Lamprotornis splendidus,species,Splendid Starling,1,3.89207839966,7.49523881073,Africa,Nigeria,Nigeria - Ibadan - IITA Ibadan Campus,2012-11-11,
102787,Rostratula benghalensis,species,Greater Painted-snipe,1,3.90083312988,7.48911176019,Africa,Nigeria,Nigeria - Ibadan - IITA Ibadan Campus,2012-11-10,
47540,Thamnolaea coronata,species,White-crowned Cliff Chat,1,9.00787350722,9.87253436706,Africa,Nigeria,Nigeria - Jos East,2013-11-25,
83172,Emberiza goslingi,species,Gosling's Bunting,1,9.077717993974169,9.860401153564451,Africa,Nigeria,Nigeria - Jos East,2013-11-13,
10142,Emberiza goslingi,species,Gosling's Bunting,1,9.05593869276,9.90500367962,Africa,Nigeria,Nigeria - Jos East,2013-11-08,
12169,Thamnolaea coronata,species,White-crowned Cliff Chat,1,9.04083249159,9.83059009986,Africa,Nigeria,Nigeria - Jos East,2013-11-06,
12287,Emberiza goslingi,species,Gosling's Bunting,1,9.04083249159,9.83059009986,Africa,Nigeria,Nigeria - Jos East,2013-11-06,
27510,Emberiza goslingi,species,Gosling's Bunting,1,9.06692502089,9.89959235036,Africa,Nigeria,Nigeria - Jos East,2013-11-04,
42280,Emberiza goslingi,species,Gosling's Bunting,2,9.0943908412,9.87659320648,Africa,Nigeria,Nigeria - Jos East,2013-11-01,
44403,Emberiza goslingi,species,Gosling's Bunting,1,9.07241818495,9.87118140947,Africa,Nigeria,Nigeria - Jos East,2013-11-01,
44472,Emberiza goslingi,species,Gosling's Bunting,1,9.05731198378,9.90365085567,Africa,Nigeria,Nigeria - Jos East,2013-11-01,
51022,Emberiza goslingi,species,Gosling's Bunting,1,9.06509399414,9.90933267465,Africa,Nigeria,Nigeria - Jos East,2013-10-30,
51203,Thamnolaea coronata,species,White-crowned Cliff Chat,1,9.05960083008,9.90392141677,Africa,Nigeria,Nigeria - Jos East,2013-10-30,
58285,Emberiza goslingi,species,Gosling's Bunting,1,8.99002072401,9.93341169304,Africa,Nigeria,Nigeria - Jos East,2013-10-28,
73714,Emberiza goslingi,species,Gosling's Bunting,2,9.07379147597,9.86171055069,Africa,Nigeria,Nigeria - Jos East,2013-10-25,
74315,Thamnolaea coronata,species,White-crowned Cliff Chat,1,9.03945920058,9.90094519104,Africa,Nigeria,Nigeria - Jos East,2013-10-25,
74323,Emberiza goslingi,species,Gosling's Bunting,1,9.05456540175,9.90365085567,Africa,Nigeria,Nigeria - Jos East,2013-10-25,
84891,Thamnolaea coronata,species,White-crowned Cliff Chat,1,9.14245602675,9.80713505662,Africa,Nigeria,Nigeria - Jos East,2013-10-21,
85010,Emberiza goslingi,species,Gosling's Bunting,1,9.00100705214,9.91312050617,Africa,Nigeria,Nigeria - Jos East,2013-10-23,
85123,Thamnolaea coronata,species,White-crowned Cliff Chat,1,9.00100705214,9.91312050617,Africa,Nigeria,Nigeria - Jos East,2013-10-23,
97154,Thamnolaea coronata,species,White-crowned Cliff Chat,1,9.04449462891,9.89174576038,Africa,Nigeria,Nigeria - Jos East,2013-10-21,
97179,Thamnolaea coronata,species,White-crowned Cliff Chat,2,9.15208339691,9.849803938,Africa,Nigeria,Nigeria - Jos East,2013-10-21,
97838,Thamnolaea coronata,species,White-crowned Cliff Chat,1,9.06555172987,9.87794614183,Africa,Nigeria,Nigeria - Jos East,2013-10-21,06:43
97890,Emberiza goslingi,species,Gosling's Bunting,2,9.15208339691,9.849803938,Africa,Nigeria,Nigeria - Jos East,2013-10-21,
98973,Emberiza goslingi,species,Gosling's Bunting,1,9.04632565565,9.90635649799,Africa,Nigeria,Nigeria - Jos East,2013-10-21,
99369,Thamnolaea coronata,species,White-crowned Cliff Chat,1,9.04632565565,9.90635649799,Africa,Nigeria,Nigeria - Jos East,2013-10-21,
1938,Emberiza goslingi,species,Gosling's Bunting,1,9.06417843886,9.90658195342,Africa,Nigeria,Nigeria - Jos East,2013-10-17,
8395,Thamnolaea coronata,species,White-crowned Cliff Chat,1,9.03396603651,9.94558580128,Africa,Nigeria,Nigeria - Jos East,2013-10-15,
8928,Emberiza goslingi,species,Gosling's Bunting,3,9.06143185683,9.77375389836,Africa,Nigeria,Nigeria - Jos East,2013-10-16,
8936,Thamnolaea coronata,species,White-crowned Cliff Chat,3,9.06143185683,9.77375389836,Africa,Nigeria,Nigeria - Jos East,2013-10-16,
17049,Emberiza goslingi,species,Gosling's Bunting,1,9.08065793104,9.87118140947,Africa,Nigeria,Nigeria - Jos East,2013-10-14,06:45
17099,Thamnolaea coronata,species,White-crowned Cliff Chat,2,9.07608032227,9.8673930945,Africa,Nigeria,Nigeria - Jos East,2013-10-14,
17758,Emberiza goslingi,species,Gosling's Bunting,1,9.13560390472,9.86604011579,Africa,Nigeria,Nigeria - Jos East,2013-10-14,
17821,Thamnolaea coronata,species,White-crowned Cliff Chat,1,9.06005856581,9.91526240612,Africa,Nigeria,Nigeria - Jos East,2013-10-14,
35460,Emberiza goslingi,species,Gosling's Bunting,1,9.09255981445,9.86468713151,Africa,Nigeria,Nigeria - Jos East,2013-10-11,
35525,Thamnolaea coronata,species,White-crowned Cliff Chat,1,8.98544311523,9.78079128524,Africa,Nigeria,Nigeria - Jos East,2013-10-07,
35535,Emberiza goslingi,species,Gosling's Bunting,1,8.98544311523,9.78079128524,Africa,Nigeria,Nigeria - Jos East,2013-10-07,
35715,Platysteira castanea,species,Chestnut Wattle-eye,1,9.05456540175,9.90714563259,Africa,Nigeria,Nigeria - Jos East,2013-10-11,
35723,Emberiza goslingi,species,Gosling's Bunting,5,9.077717993974169,9.860401153564451,Africa,Nigeria,Nigeria - Jos East,2013-10-11,
35730,Emberiza goslingi,species,Gosling's Bunting,1,9.05319211073,9.91390962449,Africa,Nigeria,Nigeria - Jos East,2013-10-11,
35964,Emberiza goslingi,species,Gosling's Bunting,1,9.17770385742,9.83086072098,Africa,Nigeria,Nigeria - Jos East,2013-10-11,
37495,Emberiza goslingi,species,Gosling's Bunting,3,8.98818969727,9.93232952402,Africa,Nigeria,Nigeria - Jos East,2013-10-09,
37565,Thamnolaea coronata,species,White-crowned Cliff Chat,4,8.98818969727,9.93232952402,Africa,Nigeria,Nigeria - Jos East,2013-10-09,
45262,Emberiza goslingi,species,Gosling's Bunting,1,9.07379147597,9.90308717049,Africa,Nigeria,Nigeria - Jos East,2013-10-09,
45271,Emberiza goslingi,species,Gosling's Bunting,1,9.07516476698,9.90714563259,Africa,Nigeria,Nigeria - Jos East,2013-10-09,
47355,Ploceus tricolor,species,Yellow-mantled Weaver,8,3.91001344076,7.49621742887,Africa,Nigeria,Nigeria - Ibadan - IITA Ibadan Campus,2012-09-27,
