,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
62369,Tyrannus dominicensis,species,Grey Kingbird,1,-66.0498544,18.4026684,North America,Puerto Rico,Puerto Rico - San Juan,2015-03-08,16:02
62370,Mimus polyglottos,species,Northern Mockingbird,1,-66.0551531,18.407199,North America,Puerto Rico,Puerto Rico - San Juan,2015-03-08,16:14
62371,Tiaris bicolor,species,Black-faced Grassquit,2,-66.0528007149696,18.4082119198436,North America,Puerto Rico,Puerto Rico - San Juan,2015-03-08,17:06
103799,Turdus plumbeus,species,Red-legged Thrush,1,-66.0494046,18.4018279,North America,Puerto Rico,Puerto Rico - San Juan,2015-03-05,08:35
103800,Zenaida asiatica,species,White-winged Dove,1,-66.0493597,18.4019092,North America,Puerto Rico,Puerto Rico - San Juan,2015-03-05,08:35
103801,Zenaida aurita,species,Zenaida Dove,5,-66.0493597,18.4019092,North America,Puerto Rico,Puerto Rico - San Juan,2015-03-05,08:35
103802,Quiscalus niger,species,Greater Antillean Grackle,10,-66.0493597,18.4019092,North America,Puerto Rico,Puerto Rico - San Juan,2015-03-05,08:35
103803,Margarops fuscatus,species,Pearly-eyed Thrasher,1,-66.0493597,18.4019092,North America,Puerto Rico,Puerto Rico - San Juan,2015-03-05,08:35
103804,Eulampis holosericeus,species,Green-throated Carib,2,-66.0500330105424,18.4016998740989,North America,Puerto Rico,Puerto Rico - San Juan,2015-03-05,12:58
38657,Margarops fuscatus,species,Pearly-eyed Thrasher,10,-66.04105333,18.38378892,North America,Puerto Rico,Puerto Rico - San Juan,2014-10-18,07:34
38658,Turdus plumbeus,species,Red-legged Thrush,10,-66.04105333,18.38378892,North America,Puerto Rico,Puerto Rico - San Juan,2014-10-18,07:34
38659,Eulampis holosericeus,species,Green-throated Carib,1,-66.04105333,18.38378892,North America,Puerto Rico,Puerto Rico - San Juan,2014-10-18,07:34
38660,Chlorostilbon maugaeus,species,Puerto Rican Emerald,1,-66.08175317,18.12200321,North America,Puerto Rico,Puerto Rico - Cayey,2014-10-25,07:37
38661,Euphonia musica,species,Antillean Euphonia,2,-66.08175334,18.12199876,North America,Puerto Rico,Puerto Rico - Cayey,2014-10-25,07:48
19723,Turdus plumbeus,species,Red-legged Thrush,15,-66.13272835,18.40506985,North America,Puerto Rico,Puerto Rico - Bayamón,2014-10-11,07:42
19724,Margarops fuscatus,species,Pearly-eyed Thrasher,15,-66.13272835,18.40506985,North America,Puerto Rico,Puerto Rico - Bayamón,2014-10-11,07:42
19725,Anthracothorax dominicus,species,Antillean Mango,1,-66.14004259,18.40724612,North America,Puerto Rico,Puerto Rico - Bayamón,2014-10-11,08:53
19726,Coccyzus minor,species,Mangrove Cuckoo,1,-66.14002494,18.40722382,North America,Puerto Rico,Puerto Rico - Bayamón,2014-10-11,08:53
19728,Anthracothorax dominicus,species,Antillean Mango,1,-66.14113506,18.40603717,North America,Puerto Rico,Puerto Rico - Bayamón,2014-10-11,11:59
19729,Gallinula galeata,species,Common Gallinule,1,-66.14011438,18.40449315,North America,Puerto Rico,Puerto Rico - Bayamón,2014-10-11,12:23
19730,Quiscalus niger,species,Greater Antillean Grackle,29,-66.13761373,18.40816356,North America,Puerto Rico,Puerto Rico - Bayamón,2014-10-11,14:13
19731,Tyrannus dominicensis,species,Grey Kingbird,10,-66.13763262,18.40826534,North America,Puerto Rico,Puerto Rico - Bayamón,2014-10-11,14:13
19732,Zenaida aurita,species,Zenaida Dove,22,-66.13747764,18.40833151,North America,Puerto Rico,Puerto Rico - Bayamón,2014-10-11,14:13
65588,Turdus plumbeus,species,Red-legged Thrush,4,-66.13255117,18.40479272,North America,Puerto Rico,Puerto Rico - Bayamón,2014-10-05,08:25
65590,Zenaida aurita,species,Zenaida Dove,3,-66.13255113,18.40479271,North America,Puerto Rico,Puerto Rico - Bayamón,2014-10-05,08:25
65591,Margarops fuscatus,species,Pearly-eyed Thrasher,3,-66.13255155,18.40479345,North America,Puerto Rico,Puerto Rico - Bayamón,2014-10-05,08:25
60811,Calidris melanotos,species,Pectoral Sandpiper,93,-66.2432098528,18.4509304002,North America,Puerto Rico,Puerto Rico - Toa Baja,2014-09-21,
60853,Pluvialis dominica,species,American Golden Plover,1,-66.2432098528,18.4509304002,North America,Puerto Rico,Puerto Rico - Toa Baja,2014-09-21,
79327,Pandion haliaetus ridgwayi,subspecies,Western Osprey ssp ridgwayi,1,-66.5882134439,18.4762300382,North America,Puerto Rico,Puerto Rico - Barceloneta,2014-09-07,
79336,Calidris minutilla,species,Least Sandpiper,10,-66.243724816,18.4486669551,North America,Puerto Rico,Puerto Rico - Toa Baja,2014-09-07,
79337,Eudocimus albus,species,American White Ibis,2,-66.55398567,18.48021041,North America,Puerto Rico,Puerto Rico - Barceloneta,2014-09-06,07:00
