,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
16182,Acridotheres tristis,species,Common Myna,2,51.5462243555,25.2914106243,Asia,Qatar,Qatar - Doha,2015-02-27,05:49
87478,Ichthyaetus ichthyaetus,species,Pallas's Gull,7,51.3790369025,26.0278437076,Asia,Qatar,Qatar - Madinat ash Shamal,2014-02-23,14:30
3996,Spilopelia senegalensis cambayensis,subspecies,Laughing Dove ssp cambayensis,1,51.6090206802,25.2603380737,Asia,Qatar,Qatar - Doha,2014-07-14,
79234,Diplacodes lefebvrii,species,Black Percher,3,51.3589885086,25.1503542211,Asia,Qatar,Qatar,2014-02-22,
79259,Crocothemis erythraea,species,Broad Scarlet,3,51.3589885086,25.1503542211,Asia,Qatar,Qatar,2014-02-22,
82456,Felis catus,species,Domesticated Cat,1,51.6045,25.179,Asia,Qatar,Qatar - Al Wakrah,2014-02-23,23:23
98633,Acridotheres tristis,species,Common Myna,2,51.4705,25.3191,Asia,Qatar,Qatar - Doha,2014-02-23,12:38
98634,Spilopelia senegalensis cambayensis,subspecies,Laughing Dove ssp cambayensis,2,51.475,25.2955,Asia,Qatar,Qatar - Doha,2014-02-23,12:36
98635,Columba livia domestica,forma,Feral Pigeon,20,51.4917,25.272,Asia,Qatar,Qatar - Doha,2014-02-23,12:34
98636,Spilopelia senegalensis cambayensis,subspecies,Laughing Dove ssp cambayensis,2,51.5229,25.2545,Asia,Qatar,Qatar - Doha,2014-02-23,12:30
98637,Columba livia domestica,forma,Feral Pigeon,2,51.5273,25.2544,Asia,Qatar,Qatar - Doha,2014-02-23,12:30
98638,Spilopelia senegalensis cambayensis,subspecies,Laughing Dove ssp cambayensis,2,51.5292,25.2544,Asia,Qatar,Qatar - Doha,2014-02-23,12:29
98639,Spilopelia senegalensis cambayensis,subspecies,Laughing Dove ssp cambayensis,1,51.5539,25.2603,Asia,Qatar,Qatar - Doha,2014-02-23,12:24
98640,Columba livia domestica,forma,Feral Pigeon,3,51.5555,25.262,Asia,Qatar,Qatar - Doha,2014-02-23,12:24
98641,Spilopelia senegalensis cambayensis,subspecies,Laughing Dove ssp cambayensis,1,51.561,25.2593,Asia,Qatar,Qatar - Doha,2014-02-23,12:23
98643,Vanessa cardui,species,Painted Lady,1,51.5686,25.2454,Asia,Qatar,Qatar - Doha,2014-02-23,12:22
98644,Passer domesticus,species,House Sparrow,1,51.573,25.237,Asia,Qatar,Qatar - Doha,2014-02-23,12:21
98646,Columba livia domestica,forma,Feral Pigeon,15,51.5776,25.2294,Asia,Qatar,Qatar - Doha,2014-02-23,12:20
104903,Motacilla alba,species,White Wagtail,5,51.3616063446,25.1478291541,Asia,Qatar,Qatar,2014-02-22,12:00
104904,Spatula clypeata,species,Northern Shoveler,16,51.362901181,25.152354814,Asia,Qatar,Qatar,2014-02-22,12:00
104905,Aythya ferina,species,Common Pochard,8,51.3623861969,25.1521994293,Asia,Qatar,Qatar,2014-02-22,12:00
104906,Egretta garzetta,species,Little Egret,1,51.3637594879,25.148625527,Asia,Qatar,Qatar,2014-02-22,12:00
104907,Ardea purpurea purpurea,subspecies,Purple Heron ssp purpurea,2,51.3637594879,25.148625527,Asia,Qatar,Qatar,2014-02-22,12:00
104908,Ardea cinerea,species,Grey Heron,2,51.3637594879,25.148625527,Asia,Qatar,Qatar,2014-02-22,12:00
104909,Phalacrocorax carbo carbo,subspecies,Atlantic Great Cormorant,100,51.3638594002,25.1497132475,Asia,Qatar,Qatar,2014-02-22,12:00
104910,Tachybaptus ruficollis ruficollis,subspecies,Little Grebe ssp ruficollis,1,51.3622071594,25.1486449507,Asia,Qatar,Qatar,2014-02-22,12:00
104911,Podiceps cristatus cristatus,subspecies,Great Crested Grebe ssp cristatus,10,51.3605083153,25.1501891222,Asia,Qatar,Qatar,2014-02-22,12:00
105088,Columba livia domestica,forma,Feral Pigeon,50,51.5336931031,25.2889292261,Asia,Qatar,Qatar - Doha,2014-02-22,22:00
112444,Spilopelia senegalensis cambayensis,subspecies,Laughing Dove ssp cambayensis,1,51.5985,25.1797,Asia,Qatar,Qatar - Al Wakrah,2014-02-22,15:15
112445,Columba livia domestica,forma,Feral Pigeon,3,51.598,25.1794,Asia,Qatar,Qatar - Al Wakrah,2014-02-22,15:15
112446,Spilopelia senegalensis cambayensis,subspecies,Laughing Dove ssp cambayensis,1,51.5973,25.1769,Asia,Qatar,Qatar - Al Wakrah,2014-02-22,15:14
112447,Columba livia domestica,forma,Feral Pigeon,4,51.5973,25.1749,Asia,Qatar,Qatar - Al Wakrah,2014-02-22,15:14
112448,Galerida cristata,species,Crested Lark,2,51.2526,25.171,Asia,Qatar,Qatar - Al Rayyan,2014-02-22,13:24
112449,Pycnonotus leucotis,species,White-eared Bulbul,1,51.5247,25.1483,Asia,Qatar,Qatar - Al Wakrah,2014-02-22,10:15
112450,Spilopelia senegalensis cambayensis,subspecies,Laughing Dove ssp cambayensis,2,51.5988,25.1797,Asia,Qatar,Qatar - Al Wakrah,2014-02-22,10:03
112451,Passer domesticus,species,House Sparrow,1,51.6012,25.1718,Asia,Qatar,Qatar - Al Wakrah,2014-02-22,09:02
112452,Spilopelia senegalensis cambayensis,subspecies,Laughing Dove ssp cambayensis,1,51.601,25.1715,Asia,Qatar,Qatar - Al Wakrah,2014-02-22,09:01
114723,Trigonella glabra,species,Egyptian fenugreek,1,51.59874212,25.1728929845,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,
114832,Streptopelia decaocto,species,Eurasian Collared Dove,2,51.5997183602,25.1733517765,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,
114873,Cenchrus ciliaris,species,Buffel-grass,1,51.5986061655,25.1788838464,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,
118291,Acridotheres tristis,species,Common Myna,2,51.6011,25.1716,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,17:06
118588,Columba livia domestica,forma,Feral Pigeon,1,51.6015,25.1707,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,16:37
118589,Spilopelia senegalensis cambayensis,subspecies,Laughing Dove ssp cambayensis,6,51.6013,25.1708,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,16:37
118590,Passer domesticus,species,House Sparrow,1,51.6014,25.1716,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,16:34
118591,Columba livia domestica,forma,Feral Pigeon,1,51.6014,25.1717,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,16:33
118592,Spilopelia senegalensis cambayensis,subspecies,Laughing Dove ssp cambayensis,1,51.6014,25.1717,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,16:33
118593,Streptopelia decaocto,species,Eurasian Collared Dove,1,51.5991,25.1729,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,16:24
118594,Spilopelia senegalensis cambayensis,subspecies,Laughing Dove ssp cambayensis,1,51.5991,25.1729,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,16:23
118595,Pycnonotus leucotis,species,White-eared Bulbul,1,51.5991,25.1729,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,16:23
118596,Passer domesticus,species,House Sparrow,5,51.5991,25.1729,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,16:23
118597,Streptopelia decaocto,species,Eurasian Collared Dove,1,51.5989,25.1791,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,15:47
118598,Spilopelia senegalensis cambayensis,subspecies,Laughing Dove ssp cambayensis,1,51.599,25.1791,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,15:44
118599,Columba livia domestica,forma,Feral Pigeon,6,51.5989,25.179,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,15:38
118600,Passer domesticus,species,House Sparrow,2,51.5997,25.176,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,15:23
118601,Acridotheres tristis,species,Common Myna,1,51.5996,25.1758,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,15:23
118602,Streptopelia decaocto,species,Eurasian Collared Dove,1,51.5989,25.173,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,15:03
118603,Pycnonotus leucotis,species,White-eared Bulbul,1,51.5989,25.173,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,15:03
118604,Spilopelia senegalensis cambayensis,subspecies,Laughing Dove ssp cambayensis,1,51.5989,25.173,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,15:02
118605,Columba livia domestica,forma,Feral Pigeon,2,51.5989,25.173,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,15:02
118606,Passer domesticus,species,House Sparrow,6,51.5989,25.173,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,15:02
118607,Columba livia domestica,forma,Feral Pigeon,3,51.5981,25.1725,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,14:53
118608,Acridotheres tristis,species,Common Myna,2,51.5979,25.1722,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,14:45
118609,Spilopelia senegalensis cambayensis,subspecies,Laughing Dove ssp cambayensis,1,51.5982,25.1722,Asia,Qatar,Qatar - Al Wakrah,2014-02-21,14:44
