,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
47400,Cichladusa ruficauda,species,Rufous-tailed Palm Thrush,2,15.2589301765,-4.28461788695,Africa,Republic of the Congo,Republic of the Congo - Pool,2015-02-12,
77704,Naucrates ductor,species,Pilot Fish,10,11.8034362793,-4.75572974293,Africa,Republic of the Congo,Congo,2013-08-04,
106193,Megaptera novaeangliae,species,Humpback Whale,8,11.5768432617,-4.69961638009,Africa,Republic of the Congo,Republic of the Congo - Kouilou,2013-10-07,
3871,Daphnis nerii,species,Oleander Hawk-moth,1,11.8157958984,-4.75162404148,Africa,Republic of the Congo,Congo,2014-01-12,
11619,Stenella attenuata,species,Pantropical Spotted Dolphin,20,10.5296716689,-4.90724101615,Africa,Republic of the Congo,Republic of the Congo - Conkouati-Douli NP,2012-06-11,07:30
11717,Corvus albus,species,Pied Crow,3,12.1319943164,-5.59620709783,Africa,Republic of the Congo,Republic of the Congo - Kouilou,2012-06-21,07:00
11783,Anastomus lamelligerus,species,African Openbill,1,12.9130554199,-5.90701883332,Africa,Republic of the Congo,Republic of the Congo - Kouilou,2012-06-24,15:00
34182,Syncerus caffer nanus,subspecies,African Forest Buffalo,1,14.929012682903856,0.8931450000000609,Africa,Republic of the Congo,Republic of the Congo - Odzala-Kokoua NP,2000-09-18,
72649,Halcyon senegalensis,species,Woodland Kingfisher,4,15.275369073849255,-4.2676603516746265,Africa,Republic of the Congo,Republic of the Congo - Pool,2020-01-30,14:25
73327,Corvus albus,species,Pied Crow,1,15.275779941885068,-4.26776714384165,Africa,Republic of the Congo,Republic of the Congo - Pool,2020-01-30,14:01
73328,Halcyon senegalensis,species,Woodland Kingfisher,1,15.275368470011642,-4.267836011737443,Africa,Republic of the Congo,Republic of the Congo - Pool,2020-01-30,13:33
73329,Turdus pelios,species,African Thrush,1,15.274839707772552,-4.268127403582033,Africa,Republic of the Congo,Republic of the Congo - Pool,2020-01-30,13:32
117415,Cichladusa ruficauda,species,Rufous-tailed Palm Thrush,1,15.268667349606073,-4.267506147738795,Africa,Republic of the Congo,Republic of the Congo - Pool,2020-01-17,07:28
835,Passer domesticus,species,House Sparrow,9,15.268574897214087,-4.26761435810874,Africa,Republic of the Congo,Republic of the Congo - Pool,2020-01-16,11:38
9056,Passer domesticus,species,House Sparrow,1,15.268554613008414,-4.267538250427942,Africa,Republic of the Congo,Republic of the Congo - Pool,2020-01-16,07:32
116438,Corvus albus,species,Pied Crow,2,15.2488,-4.2589,Africa,Republic of the Congo,Republic of the Congo - Pool,2017-11-22,07:57
116439,Cichladusa ruficauda,species,Rufous-tailed Palm Thrush,1,15.2486,-4.2592,Africa,Republic of the Congo,Republic of the Congo - Pool,2017-11-22,07:56
107944,Ploceus ocularis crocatus,subspecies,Spectacled Weaver ssp crocatus,1,16.54550336,-0.30360352,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-04,
44129,Lanius humeralis,species,Northern Fiscal,1,11.9396352767,-4.93003953711,Africa,Republic of the Congo,Republic of the Congo - Kouilou,2015-11-14,
44880,Upupa africana,species,African Hoopoe,1,11.9440340991,-4.934977903,Africa,Republic of the Congo,Republic of the Congo - Kouilou,2015-11-14,
45025,Ispidina picta,species,African Pygmy Kingfisher,1,11.939191818,-4.92906753678,Africa,Republic of the Congo,Republic of the Congo - Kouilou,2015-11-14,
84737,Butorides striata,species,Striated Heron,1,15.2742273174,-4.3061270396,Africa,Republic of the Congo,Republic of the Congo - Pool,2015-09-07,
84741,Nycticorax nycticorax,species,Black-crowned Night Heron,1,15.2742273174,-4.3061270396,Africa,Republic of the Congo,Republic of the Congo - Pool,2015-09-07,
38388,Hypolimnas misippus,species,Danaid Eggfly,1,11.9167327881,-4.69722119661,Africa,Republic of the Congo,Republic of the Congo - Kouilou,2013-10-06,
48202,Terpsiphone viridis,species,African Paradise Flycatcher,1,11.8240356445,-4.71604027342,Africa,Republic of the Congo,Republic of the Congo - Kouilou,2015-08-16,
25740,Polyboroides typus,species,African Harrier-Hawk,1,17.2585210204,-0.486998803506,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-16,
25786,Milvus aegyptius,species,Yellow-billed Kite,1,17.2585210204,-0.486998803506,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-15,
25816,Charadrius marginatus,species,White-fronted Plover,1,17.2591218352,-0.485282251527,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-15,
25833,Ciconia episcopus,species,Woolly-necked Stork,1,17.2588938475,-0.485111937361,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-15,
26146,Psittacus erithacus,species,Grey Parrot,5,17.2582414001,-0.485581642363,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-15,
26213,Glareola nuchalis,species,Rock Pratincole,1,17.2584351897,-0.485024768692,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-15,
26223,Tringa nebularia,species,Common Greenshank,1,17.2582487762,-0.485453236216,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-15,
26348,Bostrychia hagedash,species,Hadada Ibis,1,17.2598084807,-0.486998803506,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-15,
26358,Anhinga rufa,species,African Darter,1,17.2598084807,-0.486998803506,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-15,
26364,Merops gularis,species,Black Bee-eater,1,17.26079,-0.46543,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-15,
26378,Lophoceros camurus,species,Red-billed Dwarf Hornbill,1,17.26079,-0.46543,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-15,
26388,Eichhornia crassipes,species,Water Hyacinth,1,17.2614,-0.46268,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-15,
26401,Psittacus erithacus,species,Grey Parrot,1,17.28484,-0.4431,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-15,
26485,Cercopithecus pogonias grayi,subspecies,Gray's Crowned Monkey,1,17.28478,-0.44307,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-15,
26495,Cercopithecus nictitans nictitans,subspecies,Eastern Putty-nosed Monkey,1,17.28478,-0.44307,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-15,
26515,Varanus ornatus,species,Ornate monitor,1,17.29575,-0.4312,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-14,
26539,Cercopithecus nictitans nictitans,subspecies,Eastern Putty-nosed Monkey,1,17.29458,-0.43334,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-14,
26545,Cercopithecus nictitans nictitans,subspecies,Eastern Putty-nosed Monkey,1,17.29221,-0.4339,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-14,
26548,Psittacus erithacus,species,Grey Parrot,1,17.28901,-0.43652,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-14,
26554,Cercopithecus pogonias grayi,subspecies,Gray's Crowned Monkey,1,17.29,-0.439,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-14,
26850,Cercopithecus nictitans nictitans,subspecies,Eastern Putty-nosed Monkey,1,17.28825,-0.44193,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-13,
26898,Bubulcus ibis,species,Western Cattle Egret,1,15.2660001442,-4.28095836951,Africa,Republic of the Congo,Republic of the Congo - Pool,2015-04-01,
26899,Corvus albus,species,Pied Crow,1,15.2660001442,-4.28095836951,Africa,Republic of the Congo,Republic of the Congo - Pool,2015-04-01,
119651,Vanellus albiceps,species,White-crowned Lapwing,1,17.2586926818,-0.482621595099,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-13,
119657,Ceryle rudis,species,Pied Kingfisher,1,17.2586926818,-0.482621595099,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-13,
119660,Rynchops flavirostris,species,African Skimmer,2,17.2586926818,-0.482621595099,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-13,
119802,Polyboroides typus,species,African Harrier-Hawk,1,17.2582635283,-0.485368079136,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-13,
119817,Cercopithecus nictitans nictitans,subspecies,Eastern Putty-nosed Monkey,1,17.2548303008,-0.485797217167,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-13,
119825,Cercopithecus nictitans nictitans,subspecies,Eastern Putty-nosed Monkey,1,17.25943,-0.4874,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-12,
119829,Psittacus erithacus,species,Grey Parrot,1,17.25943,-0.4874,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-12,
119834,Ciconia episcopus,species,Woolly-necked Stork,1,17.25943,-0.4874,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-12,
119864,Tringa nebularia,species,Common Greenshank,1,17.25766,-0.49006,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-12,
119892,Eichhornia crassipes,species,Water Hyacinth,1,17.25608,-0.49208,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-12,
119894,Rynchops flavirostris,species,African Skimmer,1,17.25608,-0.49208,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-12,
119899,Vanellus albiceps,species,White-crowned Lapwing,1,17.25608,-0.49208,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-12,
120018,Vanellus albiceps,species,White-crowned Lapwing,1,17.23506,-0.5011,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-12,
120026,Hirundo albigularis,species,White-throated Swallow,1,17.23506,-0.5011,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-12,
120092,Anhinga rufa,species,African Darter,1,17.22886,-0.50242,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-12,
120100,Merops malimbicus,species,Rosy Bee-eater,1,17.22316,-0.50329,Africa,Republic of the Congo,Republic of the Congo - Likouala,2015-03-12,
120119,Ardea intermedia,species,Intermediate Egret,1,17.14763,-0.52064,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
120125,Muscicapa cassini,species,Cassin's Flycatcher,1,17.15924,-0.54305,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
120144,Ceryle rudis,species,Pied Kingfisher,1,17.15987,-0.5457,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
120150,Ceryle rudis,species,Pied Kingfisher,1,17.16391,-0.56297,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
120161,Glareola cinerea,species,Grey Pratincole,1,17.16324,-0.57398,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
120168,Ceryle rudis,species,Pied Kingfisher,1,17.16324,-0.57398,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
120176,Vanellus albiceps,species,White-crowned Lapwing,1,17.16324,-0.57398,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
120191,Pseudhirundo griseopyga,species,Grey-rumped Swallow,1,17.16283,-0.57772,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
120196,Charadrius marginatus,species,White-fronted Plover,1,17.16283,-0.57772,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
120210,Glareola cinerea,species,Grey Pratincole,1,17.16283,-0.57772,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
120367,Vanellus albiceps,species,White-crowned Lapwing,1,17.16283,-0.57772,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
120400,Rynchops flavirostris,species,African Skimmer,1,17.15891,-0.58846,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
120411,Vanellus albiceps,species,White-crowned Lapwing,1,17.15891,-0.58846,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
120420,Ceryle rudis,species,Pied Kingfisher,1,17.15643,-0.59928,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
120426,Ceryle rudis,species,Pied Kingfisher,1,17.15788,-0.5895,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
120585,Milvus aegyptius,species,Yellow-billed Kite,1,17.16007,-0.62894,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
120605,Glareola cinerea,species,Grey Pratincole,1,17.15715,-0.64553,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
120644,Microcarbo africanus,species,Reed Cormorant,1,17.15352,-0.65228,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
120674,Aves indet.,multispecies,Unidentified bird,1,17.18003,-0.6852,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
120883,Egretta garzetta,species,Little Egret,1,17.19498,-0.72848,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
120918,Glareola cinerea,species,Grey Pratincole,30,17.18375,-0.74167,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
121041,Pseudhirundo griseopyga,species,Grey-rumped Swallow,1,17.16866,-0.74864,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
121046,Vanellus albiceps,species,White-crowned Lapwing,2,17.16318,-0.74905,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
121108,Microcarbo africanus,species,Reed Cormorant,1,17.15553,-0.74947,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
121115,Pandion haliaetus,species,Western Osprey,1,17.15108,-0.75028,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
121138,Egretta garzetta,species,Little Egret,1,17.15108,-0.75028,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
121151,Lophoceros fasciatus,species,African Pied Hornbill,1,17.13568,-0.75663,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
121188,Psittacus erithacus,species,Grey Parrot,2,17.13257,-0.75652,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
121200,Vanellus albiceps,species,White-crowned Lapwing,1,17.12327,-0.76087,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
121221,Pseudhirundo griseopyga,species,Grey-rumped Swallow,1,17.11954,-0.76183,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
121231,Muscicapa cassini,species,Cassin's Flycatcher,1,17.10836,-0.78162,Africa,Republic of the Congo,Republic of the Congo - Cuvette,2015-03-11,
