,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
109594,Pytilia melba,species,Green-winged Pytilia,1,30.240730159,-2.19363977205,Africa,Rwanda,Rwanda - Gashora,2015-01-22,15:00
10177,Pytilia melba,species,Green-winged Pytilia,1,30.0947338343,-1.92278821734,Africa,Rwanda,Rwanda - Rubungo,2015-02-01,15:00
10415,Cossypha heuglini,species,White-browed Robin-Chat,2,30.0947391987,-1.92278285594,Africa,Rwanda,Rwanda - Rubungo,2015-02-01,15:00
10421,Cinnyris venustus,species,Variable Sunbird,2,30.0947391987,-1.92278285594,Africa,Rwanda,Rwanda - Rubungo,2015-02-01,15:00
10433,Terpsiphone viridis,species,African Paradise Flycatcher,1,30.0947391987,-1.92278285594,Africa,Rwanda,Rwanda - Rubungo,2015-02-01,15:00
10436,Chalcomitra senegalensis,species,Scarlet-chested Sunbird,3,30.0947391987,-1.92278285594,Africa,Rwanda,Rwanda - Rubungo,2015-02-01,15:00
25682,Terpsiphone viridis,species,African Paradise Flycatcher,1,30.0947284698,-1.92279357874,Africa,Rwanda,Rwanda - Rubungo,2015-01-22,07:00
26079,Cinnyris stuhlmanni,species,Rwenzori Double-collared Sunbird,1,29.0595674515,-2.47866051769,Africa,Rwanda,Rwanda - Karengera,2015-01-27,14:00
26083,Cyanomitra verticalis,species,Green-headed Sunbird,2,29.0595674515,-2.47866051769,Africa,Rwanda,Rwanda - Karengera,2015-01-27,14:00
26194,Corythaeola cristata,species,Great Blue Turaco,1,29.2119598389,-2.48144740227,Africa,Rwanda,Rwanda - Karengera,2015-01-30,10:00
26229,Lanius humeralis,species,Northern Fiscal,1,29.3312644958,-2.2742591272,Africa,Rwanda,Rwanda - Gisovu,2015-01-29,10:00
26232,Melaenornis fischeri,species,White-eyed Slaty Flycatcher,1,29.3312644958,-2.2742591272,Africa,Rwanda,Rwanda - Gisovu,2015-01-29,10:00
26344,Apalis porphyrolaema,species,Chestnut-throated Apalis,1,29.1970252991,-2.48573490554,Africa,Rwanda,Rwanda - Karengera,2015-01-28,16:00
26346,Melaniparus fasciiventer,species,Stripe-breasted Tit,2,29.1970252991,-2.48573490554,Africa,Rwanda,Rwanda - Karengera,2015-01-28,16:00
26348,Ceblepyris caesius,species,Grey Cuckooshrike,1,29.1970252991,-2.48573490554,Africa,Rwanda,Rwanda - Karengera,2015-01-28,16:00
26378,Batis diops,species,Rwenzori Batis,1,29.1525650024,-2.48942214721,Africa,Rwanda,Rwanda - Karengera,2015-01-28,11:30
26379,Cryptospiza jacksoni,species,Dusky Crimsonwing,3,29.1525650024,-2.48942214721,Africa,Rwanda,Rwanda - Karengera,2015-01-28,11:30
26380,Pogoniulus bilineatus,species,Yellow-rumped Tinkerbird,1,29.112739563,-2.48796440174,Africa,Rwanda,Rwanda - Karengera,2015-01-28,09:30
26382,Merops oreobates,species,Cinnamon-chested Bee-eater,1,29.112739563,-2.48796440174,Africa,Rwanda,Rwanda - Karengera,2015-01-28,09:30
26383,Cisticola chubbi,species,Chubb's Cisticola,1,29.112739563,-2.48796440174,Africa,Rwanda,Rwanda - Karengera,2015-01-28,09:30
26384,Pycnonotus tricolor,species,Dark-capped Bulbul,2,29.112739563,-2.48796440174,Africa,Rwanda,Rwanda - Karengera,2015-01-28,09:30
26385,Muscicapa adusta,species,African Dusky Flycatcher,1,29.112739563,-2.48796440174,Africa,Rwanda,Rwanda - Karengera,2015-01-28,09:30
26386,Prinia bairdii,species,Banded Prinia,2,29.112739563,-2.48796440174,Africa,Rwanda,Rwanda - Karengera,2015-01-28,09:30
26389,Nigrita canicapillus,species,Grey-headed Nigrita,1,29.112739563,-2.48796440174,Africa,Rwanda,Rwanda - Karengera,2015-01-28,09:30
26391,Dryoscopus gambensis,species,Northern Puffback,1,29.112739563,-2.48796440174,Africa,Rwanda,Rwanda - Karengera,2015-01-28,09:30
26405,Melaenornis ardesiacus,species,Yellow-eyed Black Flycatcher,4,29.112739563,-2.48796440174,Africa,Rwanda,Rwanda - Karengera,2015-01-28,09:30
26416,Chamaetylas poliophrys,species,Red-throated Alethe,1,29.112739563,-2.48796440174,Africa,Rwanda,Rwanda - Karengera,2015-01-28,09:30
26485,Buteo oreophilus,species,Mountain Buzzard,1,29.2289113998,-2.47578787667,Africa,Rwanda,Rwanda - Karengera,2015-01-27,10:30
26529,Buteo augur,species,Augur Buzzard,2,29.4302272797,-2.5216636332,Africa,Rwanda,Rwanda - Mudasomwa,2015-01-27,09:30
46002,Cecropis abyssinica,species,Lesser Striped Swallow,1,30.0916975737,-1.92936127812,Africa,Rwanda,Rwanda - Rubungo,2015-01-26,09:00
46004,Crithagra sulphurata,species,Brimstone Canary,3,30.0916975737,-1.92936127812,Africa,Rwanda,Rwanda - Rubungo,2015-01-26,09:00
46012,Chalcomitra senegalensis,species,Scarlet-chested Sunbird,1,30.0916975737,-1.92936127812,Africa,Rwanda,Rwanda - Rubungo,2015-01-26,09:00
46015,Cinnyris venustus,species,Variable Sunbird,4,30.0916975737,-1.92936127812,Africa,Rwanda,Rwanda - Rubungo,2015-01-26,09:00
46016,Ploceus baglafecht,species,Baglafecht Weaver,6,30.0916975737,-1.92936127812,Africa,Rwanda,Rwanda - Rubungo,2015-01-26,09:00
46023,Pycnonotus tricolor,species,Dark-capped Bulbul,6,30.0916975737,-1.92936127812,Africa,Rwanda,Rwanda - Rubungo,2015-01-26,09:00
46026,Cossypha heuglini,species,White-browed Robin-Chat,2,30.0916975737,-1.92936127812,Africa,Rwanda,Rwanda - Rubungo,2015-01-26,09:00
55423,Vanellus coronatus,species,Crowned Lapwing,2,30.5844783783,-1.43854283904,Africa,Rwanda,Rwanda - Akagera NP,2015-01-24,15:00
55644,Lophaetus occipitalis,species,Long-crested Eagle,1,30.6285095215,-1.52271462403,Africa,Rwanda,Rwanda - Akagera NP,2015-01-24,15:00
55661,Lanius excubitoroides,species,Grey-backed Fiscal,3,30.6285095215,-1.52271462403,Africa,Rwanda,Rwanda - Akagera NP,2015-01-24,15:00
55665,Balearica regulorum,species,Grey Crowned Crane,2,30.6648159027,-1.51627958602,Africa,Rwanda,Rwanda - Akagera NP,2015-01-24,14:00
55702,Vanellus senegallus,species,African Wattled Lapwing,2,30.7346177101,-1.53575624207,Africa,Rwanda,Rwanda - Akagera NP,2015-01-24,12:00
55709,Haliaeetus vocifer,species,African Fish Eagle,1,30.7363128662,-1.53163784494,Africa,Rwanda,Rwanda - Akagera NP,2015-01-24,12:00
56136,Alopochen aegyptiaca,species,Egyptian Goose,8,30.7295751572,-1.53901663417,Africa,Rwanda,Rwanda - Akagera NP,2015-01-24,12:00
56441,Phalacrocorax lucidus,species,White-breasted Cormorant,1,30.7422780991,-1.72901131629,Africa,Rwanda,Rwanda - Akagera NP,2015-01-24,11:00
56527,Pternistis hildebrandti,species,Hildebrandt's Spurfowl,1,30.7368278503,-1.87982680172,Africa,Rwanda,Rwanda - Akagera NP,2015-01-24,10:00
56530,Lophoceros nasutus,species,African Grey Hornbill,1,30.7368278503,-1.87982680172,Africa,Rwanda,Rwanda - Akagera NP,2015-01-24,10:00
56542,Lamprotornis purpuroptera,species,Rüppell's Starling,6,30.7368278503,-1.87982680172,Africa,Rwanda,Rwanda - Akagera NP,2015-01-24,10:00
56998,Corythaixoides personatus,species,Bare-faced Go-away-bird,2,30.734167099,-1.88926307082,Africa,Rwanda,Rwanda - Akagera NP,2015-01-24,09:00
101217,Passer griseus,species,Northern Grey-headed Sparrow,1,29.2729452252,-1.7342606832,Africa,Rwanda,Rwanda - Nyamyumba,2014-03-02,07:45
101220,Lagonosticta senegala,species,Red-billed Firefinch,1,29.2729452252,-1.7342606832,Africa,Rwanda,Rwanda - Nyamyumba,2014-03-02,07:45
101223,Colius striatus,species,Speckled Mousebird,2,29.2729452252,-1.7342606832,Africa,Rwanda,Rwanda - Nyamyumba,2014-03-02,07:45
101230,Corvus albus,species,Pied Crow,2,29.2729452252,-1.7342606832,Africa,Rwanda,Rwanda - Nyamyumba,2014-03-02,08:15
101243,Phalacrocorax lucidus,species,White-breasted Cormorant,1,29.2729452252,-1.7342606832,Africa,Rwanda,Rwanda - Nyamyumba,2014-03-02,08:30
101248,Ceryle rudis,species,Pied Kingfisher,1,29.2729452252,-1.7342606832,Africa,Rwanda,Rwanda - Nyamyumba,2014-03-02,08:30
118241,Emberiza flaviventris,species,Golden-breasted Bunting,1,29.7869468294,-2.0489854711,Africa,Rwanda,Rwanda - Nyamabuye,2014-02-28,08:32
