,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
79390,Pica serica anderssoni,subspecies,Oriental Magpie ssp anderssoni,1,126.585857,36.707655,Asia,South Korea,South Korea,2011-10-21,07:14
79766,Pica serica anderssoni,subspecies,Oriental Magpie ssp anderssoni,1,126.832208333,37.3233416667,Asia,South Korea,South Korea - Seoul,2009-05-11,
80653,Pica serica anderssoni,subspecies,Oriental Magpie ssp anderssoni,1,126.841977239,37.2708161938,Asia,South Korea,South Korea,2009-05-11,
83086,Pica serica anderssoni,subspecies,Oriental Magpie ssp anderssoni,1,126.663888889,37.3,Asia,South Korea,South Korea - Seoul,2009-05-10,13:00
85657,Pica serica anderssoni,subspecies,Oriental Magpie ssp anderssoni,1,126.648683333,37.4124694444,Asia,South Korea,South Korea - Seoul,2009-05-07,17:15
98411,Sittiparus varius,species,Varied Tit,1,126.982061863,37.5531175322,Asia,South Korea,South Korea - Seoul,2012-06-19,
98413,Hypsipetes amaurotis,species,Brown-eared Bulbul,1,126.982061863,37.5531175322,Asia,South Korea,South Korea - Seoul,2012-06-19,
112713,Streptopelia orientalis orientalis,subspecies,Oriental Turtle Dove ssp orientalis,1,127.0078165177256,37.57859545759857,Asia,South Korea,South Korea - Seoul,2014-12-29,05:50
69637,Xenus cinereus,species,Terek Sandpiper,1,126.755,36.0082,Asia,South Korea,South Korea,2014-10-04,15:07
69638,Pica serica anderssoni,subspecies,Oriental Magpie ssp anderssoni,1,126.7672,36.0233,Asia,South Korea,South Korea,2014-10-04,12:03
69639,Parus minor minor,subspecies,Japanese Tit ssp minor,1,126.7648,36.0194,Asia,South Korea,South Korea,2014-10-04,11:43
85462,Gallicrex cinerea,species,Watercock,1,126.449252693,37.4583335993,Asia,South Korea,South Korea - Seoul,2014-09-30,21:00
89789,Parus minor minor,subspecies,Japanese Tit ssp minor,1,127.3552,36.3325,Asia,South Korea,South Korea,2014-10-03,13:25
89790,Streptopelia orientalis,species,Oriental Turtle Dove,1,127.3505,36.346,Asia,South Korea,South Korea,2014-10-03,10:54
89791,Pica serica anderssoni,subspecies,Oriental Magpie ssp anderssoni,1,127.3491,36.3472,Asia,South Korea,South Korea,2014-10-03,10:46
89792,Hypsipetes amaurotis,species,Brown-eared Bulbul,1,127.3501,36.3543,Asia,South Korea,South Korea,2014-10-03,09:59
69712,Euphorbia maculata,species,Spotted Spurge,1,126.459052563,37.4433217855,Asia,South Korea,South Korea,2014-07-28,15:13
66429,Orthetrum albistylum,species,White-tailed Skimmer,1,126.460597515,37.4430619795,Asia,South Korea,South Korea,2014-07-28,15:13
106966,Ischnura asiatica,species,Asian Bluetail,1,126.4604,37.4435,Asia,South Korea,South Korea,2014-07-28,15:13
106967,Streptopelia orientalis orientalis,subspecies,Oriental Turtle Dove ssp orientalis,5,126.4611,37.4432,Asia,South Korea,South Korea,2014-07-28,15:15
106968,Pantala flavescens,species,Wandering Glider,501,126.4572,37.4429,Asia,South Korea,South Korea,2014-07-28,14:56
