,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
96657,Emberiza socotrana,species,Socotra Bunting,2,53.9977849647,12.5311567023,Asia,Yemen,Yemen,2009-02-26,
120000,Tursiops truncatus,species,Common Bottlenose Dolphin,10,53.3939570189,12.5902480442,Asia,Yemen,Yemen,2009-03-01,
4975,Pachysmopoda abbreviata,species,,2,53.4703803621,12.659238945,Asia,Yemen,Yemen,2009-02-28,
5000,Pachysmopoda abbreviata,species,,20,53.9926886838,12.6060166172,Asia,Yemen,Yemen,2009-02-22,
10739,Hakaria simonyi,species,,1,53.4703231975,12.6593278415,Asia,Yemen,Yemen,2009-02-28,
11622,Caprimulgus aegyptius,species,Egyptian Nightjar,1,54.5310170017,12.5524585051,Asia,Yemen,Yemen,2010-11-03,
11631,Milvus migrans,species,Black Kite,1,54.0113229118,12.6487602363,Asia,Yemen,Yemen,2010-11-03,
15192,Puffinus persicus,species,Persian Shearwater,10,53.3951586485,12.6431831876,Asia,Yemen,Yemen,2010-10-28,
15212,Passer insularis,species,Socotra Sparrow,10,54.3540718406,12.5881561563,Asia,Yemen,Yemen,2009-03-04,
15217,Anthus similis sokotrae,subspecies,Long-billed Pipit ssp sokotrae,1,53.4002137743,12.57641298,Asia,Yemen,Yemen,2009-03-31,
15219,Sphingonotus ganglbaueri,species,,1,53.4990960918,12.6980932935,Asia,Yemen,Yemen,2009-02-28,
15374,Phalacrocorax nigrogularis,species,Socotra Cormorant,300,53.3956005424,12.5759676991,Asia,Yemen,Yemen,2009-03-01,
15394,Stenella longirostris,species,Spinner Dolphin,1,53.4622782469,12.6830448223,Asia,Yemen,Yemen,2009-03-01,
15470,Glomeremus mediopictus,species,,2,53.4699619375,12.6588411598,Asia,Yemen,Yemen,2009-02-28,
15478,Otus socotranus,species,Socotra Scops Owl,1,53.4699619375,12.6588411598,Asia,Yemen,Yemen,2009-02-28,
15523,Buteo socotraensis,species,Socotra Buzzard,1,53.9699757379,12.6423351819,Asia,Yemen,Yemen,2009-02-27,
15765,Otus socotranus,species,Socotra Scops Owl,1,53.9926994126,12.6059904417,Asia,Yemen,Yemen,2009-02-22,
15767,Pachysmopoda abbreviata,species,,5,53.9926994126,12.6059904417,Asia,Yemen,Yemen,2009-02-22,
15770,Oecanthus chopardi,species,,1,53.9926994126,12.6059904417,Asia,Yemen,Yemen,2009-02-22,
15773,Rhynchostruthus socotranus,species,Socotra Golden-winged Grosbeak,2,53.940013703,12.6189286313,Asia,Yemen,Yemen,2009-02-21,
15843,Emberiza socotrana,species,Socotra Bunting,1,54.0429515205,12.5669571195,Asia,Yemen,Yemen,2010-11-01,
15858,Hypolimnas misippus,species,Danaid Eggfly,1,54.0544796549,12.6174471677,Asia,Yemen,Yemen,2010-11-01,
15874,Trigonidium cicindeloides,species,,5,53.9917981904,12.4938667229,Asia,Yemen,Yemen,2010-11-05,
15911,Socotracris kleukersi,species,,30,53.990253238,12.4910254264,Asia,Yemen,Yemen,2010-11-06,
16082,Scintharista forbesi,species,,1,54.0531065315,12.5752346978,Asia,Yemen,Yemen,2010-10-31,
16162,Chamaeleo monachus,species,Monarch Chameleon,1,54.0508533083,12.585371118,Asia,Yemen,Yemen,2010-10-30,
16277,Trachylepis socotrana,species,Socotra Skink,1,53.9927020948,12.6059695013,Asia,Yemen,Yemen,2010-10-26,
16282,Pachycalamus brevis,species,Short Worm Lizard,1,53.9927020948,12.6059695013,Asia,Yemen,Yemen,2010-10-26,
18315,Zosterops socotranus,subspecies,Socotra White-eye,5,54.0384301543,12.6575052542,Asia,Yemen,Yemen,2009-02-27,
65395,Ichthyaetus hemprichii,species,Sooty Gull,1,43.302612304688,13.648655851179,Asia,Yemen,Yemen,2007-04-14,
65712,Gelochelidon nilotica nilotica,subspecies,Gull-billed Tern ssp nilotica,1,43.299522399902,13.646320446064,Asia,Yemen,Yemen,2007-04-14,
118488,Spilopelia senegalensis senegalensis,subspecies,Laughing Dove ssp senegalensis,1,43.937072753906,15.131124524155,Asia,Yemen,Yemen,2007-04-14,
118557,Thalasseus bengalensis bengalensis,subspecies,Lesser Crested Tern ssp bengalensis,1,43.310852050781,13.631306575791,Asia,Yemen,Yemen,2007-04-14,
118566,Ichthyaetus leucophthalmus,species,White-eyed Gull,1,43.310852050781,13.631306575791,Asia,Yemen,Yemen,2007-04-14,
118569,Thalasseus bengalensis,species,Lesser Crested Tern,1,43.31085205,13.63130658,Asia,Yemen,Yemen,2007-04-14,
118573,Sterna hirundo,species,Common Tern,1,43.310852050781,13.631306575791,Asia,Yemen,Yemen,2007-04-14,
118668,Sternula saundersi,species,Saunders's Tern,1,43.310852050781,13.631306575791,Asia,Yemen,Yemen,2007-04-14,
118673,Pluvialis squatarola squatarola,subspecies,Grey Plover ssp squatarola,1,43.310852050781,13.631306575791,Asia,Yemen,Yemen,2007-04-14,
118689,Vanellus spinosus,species,Spur-winged Lapwing,1,43.310852050781,13.631306575791,Asia,Yemen,Yemen,2007-04-14,
118696,Ardea cinerea cinerea,subspecies,Grey Heron ssp cinerea,1,43.310852050781,13.631306575791,Asia,Yemen,Yemen,2007-04-14,
118711,Phoenicopterus roseus,species,Greater Flamingo,1,43.310852050781,13.631306575791,Asia,Yemen,Yemen,2007-04-14,
118717,Pelecanus rufescens,species,Pink-backed Pelican,1,43.310852050781,13.631306575791,Asia,Yemen,Yemen,2007-04-14,
118746,Ichthyaetus leucophthalmus,species,White-eyed Gull,1,43.255920410156,13.325484885598,Asia,Yemen,Yemen,2007-04-13,
118748,Ichthyaetus leucophthalmus,species,White-eyed Gull,1,43.255920410156,13.325484885598,Asia,Yemen,Yemen,2007-04-13,
118753,Thalasseus bergii velox,subspecies,Greater Crested Tern ssp velox,1,43.255920410156,13.325484885598,Asia,Yemen,Yemen,2007-04-13,
