country,eventDate
Albania,7/1/1978
Andorra,2/21/2015
Angola,3/11/2015
Antarctica,3/14/2015
Argentina,3/14/2015
Armenia,2/27/2015
Australia,2/13/2015
Austria,3/14/2015
Azerbaijan,2/12/2015
Bangladesh,3/14/2015
Belarus,2/21/2015
Belize,3/14/2015
Bhutan,12/3/2014
Bolivia,3/14/2015
"Bonaire, Saint Eustatius and Saba",8/24/2014
Botswana,3/12/2015
Brazil,3/14/2015
Bulgaria,1/23/2015
Cambodia,3/14/2015
Cameroon,3/11/2015
Canada,3/11/2015
Cape Verde,3/11/2015
Chile,3/11/2015
China,3/13/2015
Colombia,3/12/2015
Costa Rica,3/11/2015
Croatia,3/14/2015
Cuba,3/11/2015
Curaçao,3/12/2015
Czech Republic,3/12/2015
Denmark,3/13/2015
Djibouti,3/4/2015
Ecuador,2/24/2010
Egypt,5/1/2014
Estonia,9/18/2010
Ethiopia,7/13/1989
Fiji,2/24/2015
Finland,3/13/2015
Gaza Strip,3/13/2015
Georgia,3/11/2015
Ghana,3/13/2015
Greece,3/13/2015
Greenland,3/20/1995
Guatemala,10/14/2014
Hungary,3/18/1995
Iceland,11/2/2014
India,3/12/2015
Indonesia,12/19/2014
Ireland,2/20/2015
Israel,6/21/2006
Italy,2/21/2015
Jamaica,3/6/2015
Jan Mayen,3/8/2015
Jordan,10/10/2014
Kenya,3/10/2015
Laos,3/10/2015
Latvia,2/27/2015
Lesotho,2/25/2015
Lithuania,3/7/2015
Luxembourg,2/24/2010
Madagascar,2/11/2015
Malaysia,10/21/2011
Malta,3/5/2015
Mauritania,11/15/2014
Mexico,3/7/2015
Monaco,11/30/2014
Montenegro,3/6/2015
Morocco,12/31/2013
Myanmar,3/5/2015
Namibia,1/18/2015
Nepal,12/29/2014
New Caledonia,3/4/2015
New Zealand,8/7/2014
Nicaragua,3/4/2015
Nigeria,3/3/2015
Norway,8/21/2009
Oceans,6/9/2014
Oman,2/23/2015
Panama,2/27/2015
,2/6/2015
Philippines,2/20/2015
Poland,2/9/2010
,2/5/2014
Puerto Rico,1/17/2015
Qatar,6/28/2011
Republic of the Congo,2/26/2015
Romania,2/18/2015
Russia,11/6/2014
Rwanda,2/23/2015
Senegal,2/25/2015
Singapore,11/20/2014
Slovakia,5/26/2014
Slovenia,11/9/2014
South Africa,4/11/2006
South Korea,2/9/2015
Sri Lanka,2/18/2015
Suriname,2/19/2015
Swaziland,12/29/2008
Sweden,1/16/2009
Switzerland,1/22/2015
Syria,2/15/2015
Tanzania,2/7/2015
Thailand,11/14/2014
The Gambia,7/2/2013
Turkey,10/21/2014
Uganda,2/12/2015
United Arab Emirates,5/7/2008
United Kingdom,1/23/2015
United States,1/24/2015
Vietnam,2/9/2015
Western Sahara,12/1/2010
Yemen,8/23/2014
Zambia,7/7/2013
Zimbabwe,2/26/2009
,1/30/2015
,4/30/2014
,4/27/2014
,8/9/2014
,2/21/2013
,7/12/2010
,12/13/2014
,12/8/2014
,7/13/2013
,7/9/2014
,8/13/1994
,11/10/2014
,10/17/2014
,1/27/2004
,8/11/2012
,1/14/2015
,12/21/2014
,5/30/2013
,3/25/2005
,8/15/1989
,8/1/2009
,1/4/2015
,8/3/2009
,1/27/2006
,11/16/2014
,12/7/2014
,12/2/2014
,11/9/2014
,2/18/2013
